,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err
0,6987.5,4891.49517,13656.6525,55050.238,13656.2146,-3.43573467,6989.51429,-7354.84214,6989.51429,0.002593376,0.010542539,,,,,,,,,,
0,6987.5,4891.49517,13681.4879,54877.2916,13681.8647,43.377135,6997.88933,-7359.10219,6997.88933,0.015742484,0.237397447,,,,,,,,,,
0,6987.5,4891.49517,30577.7616,54996.2037,30694.5566,28.0081012,7006.36159,-7422.79547,6999.63879,-0.01236745,0.146061389,0.74070692,0.116032846,4.36E-11,0.401903255,6.33E-89,1.75E-83,5.46399753,7.66E-82,0.000160214,
0,6987.5,4891.49517,48656.7398,55079.1161,48829.1092,41.1362538,7015.15349,-7470.72801,7000.04484,-0.018283923,0.214144482,1.65847394,0.360457554,1.06E-08,1.04829256,1.02E-88,5.75E-83,12.0410206,1.71E-81,0.000411251,
0,6987.5,4891.49517,67334.1341,55129.7636,67602.7436,81.4119069,7024.1867,-7521.29523,7000.35557,0.03160162,0.431599813,2.60821636,0.711928619,2.81E-11,1.77895844,2.00E-86,1.82E-82,18.7313227,2.70E-81,0.000699514,
0,6987.5,4891.49517,86854.1913,55283.1594,87146.9969,68.3506853,7033.35874,-7574.40155,7000.40664,-0.030778598,0.355123358,3.59664093,1.16436258,1.51E-09,2.62931346,1.34E-88,2.07E-82,25.560769,3.72E-81,0.001012669,
0,6987.5,4891.49517,106785.323,55394.8582,107143.381,86.0517378,7042.74394,-7628.88591,7000.42853,0.03266379,0.447915573,4.60810807,1.70631933,9.04E-10,3.50095373,1.75E-86,3.34E-82,32.49869,4.77E-81,0.001342024,
0,6987.5,4891.49517,127215.837,55504.8456,127636.819,108.780881,7052.31875,-7684.61279,7000.37722,0.041397037,0.569090746,5.64492187,2.33101097,1.01E-09,4.41369693,8.60E-87,5.20E-82,39.550219,5.84E-81,0.001684199,
0,6987.5,4891.49517,148069.291,55661.6914,148551.699,111.084627,7061.97529,-7741.18508,7000.18217,0.041836511,0.576541508,6.70341965,3.0300025,4.26E-06,5.35930802,2.96E-89,6.26E-82,46.6983495,6.94E-81,0.002036133,
0,6987.5,4891.49517,169305.385,55802.694,169858.93,59.2148401,7071.86169,-7798.31509,7000.00925,0.034130635,0.37831553,7.78197445,3.79718361,2.43E-09,6.32582393,8.73E-83,4.77E-82,53.9450602,8.06E-81,0.002396516,
0,6987.5,4891.49517,190789.295,55795.627,191405.497,219.119156,7081.95529,-7855.90649,6999.90863,0.083756293,1.16072056,8.87339433,4.6236439,2.25E-11,7.27075095,3.19E-87,1.67E-81,61.2761122,9.19E-81,0.00276348,
0,6987.5,4891.49517,212798.239,56102.2172,213477.854,155.568524,7091.84006,-7914.1381,6999.32363,0.058240771,0.807992948,9.99180971,5.50959765,9.28E-09,8.31672119,8.75E-87,1.31E-81,68.6951699,1.04E-80,0.00313721,
0,6987.5,4891.49517,234986.542,56259.4237,235733.112,170.868332,7102.01912,-7972.38155,6998.93093,0.063776529,0.886819594,11.119921,6.44411963,6.99E-09,9.33595864,8.89E-89,1.60E-81,76.1846724,1.15E-80,0.003515811,
0,6987.5,4891.49517,257434.942,56420.9254,258248.931,186.149236,7112.2953,-8030.76797,6998.49427,0.069346423,0.966211245,12.2617027,7.42439565,7.46E-06,10.3684608,6.54E-89,1.92E-81,83.7425593,1.27E-80,0.003899045,
0,18912367.5,13239320.8,36941857.8,149075386,36941858,-4.68673116,18912371,-19903846.1,18912371,0.001370332,0.027406418,,,,,,,,,,-1
0,18912367.5,13239320.8,36941857.8,149075167,36941858,25.2400117,18912385.8,-19903853.6,18912385.8,0.006505431,0.138749924,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149074952,36941858,45.9894428,18912401,-19903861.4,18912401,0.012070581,0.253128932,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149074728,36941858,69.7616507,18912416.7,-19903869.4,18912416.7,0.017803378,0.380726282,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149074502,36941858,91.0076922,18912432.7,-19903877.6,18912432.7,0.023860536,0.498657439,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149074270,36941858,114.066056,18912449,-19903885.9,18912449,0.029400175,0.624706816,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149074031,36941858,139.357568,18912465.7,-19903894.4,18912465.7,0.036332012,0.760558224,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149073792,36941858,161.862685,18912482.7,-19903903.1,18912482.7,0.042159566,0.885489676,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149073545,36941858,187.898401,18912499.9,-19903911.9,18912499.9,0.048442683,1.02548568,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149073297,36941858,212.706226,18912517.4,-19903920.8,18912517.4,0.055308919,1.1608757,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149073045,36941858,237.832682,18912535.1,-19903929.8,18912535.1,0.061657637,1.29801025,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149072791,36941858,263.048957,18912553,-19903939,18912553,0.068126623,1.43586634,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149072534,36941858,288.531926,18912571.1,-19903948.2,18912571.1,0.074712233,1.57521468,,,,,,,,,,
0,18912367.5,13239320.8,36941857.8,149072274,36941858,314.88351,18912589.4,-19903957.6,18912589.4,0.081086462,1.71851277,,,,,,,,,,
0,,,4044.16983,-110861.099,2988.50002,-0.867529102,115.746669,-149.103829,114.336386,-7.42E-09,0,0.023500376,0.10690445,1.97E-06,0.035331452,1.65E-90,,1.24448663,,5.86E-05,
0,,,17719.4425,-2.15393688,17750.6003,-0.006381645,9.49411984,-2.67743802,0.062478827,0.07724599,0.0488218,0.238506051,1.27292385,2.94E-10,0.968181598,1.58E-81,2.97E-77,6.95167167,,0.000357847,
