Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h)
Brazil,10,20,8,8,500,0.434800055,0.304375294,7468.70759,54.1205897,7686.8856,5.69100105,3.99549868,-9.66432736,0.17434072,0.003992017,0.366930359,0.464466377,0.00013478,0.376211837,3.15E-85,1.05E-79,2.6119334,1.59E-81,0.001481208,0.026284731,0.016723079
Brazil,10,20,8,8,550,1.68600393,1.18026191,28958.8042,209.579343,29803.1247,21.5874893,15.4942507,-37.4273058,0.678744382,0.015606504,1.42169358,1.80103721,0.000137968,1.45872235,3.23E-87,4.12E-79,10.1281716,6.15E-81,0.005743609,0.103443244,0.064846305
Brazil,10,20,8,8,600,2.97945283,2.08572152,51171.6343,370.275128,52666.1285,37.9690414,27.3813004,-66.1251402,1.20028853,0.027660395,2.51203866,3.18273562,0.000125046,2.57777818,6.66E-87,7.29E-79,17.8981845,1.09E-80,0.010149925,0.183111369,0.114594339
Brazil,10,20,8,8,650,4.31565419,3.02110936,74122.1098,536.348384,76283.7584,55.8115975,39.6595068,-95.8006594,1.73644738,0.040062689,3.63918288,4.61010615,0.000201918,3.73384527,2.23E-87,1.05E-78,25.9250213,1.58E-80,0.014701884,0.26401093,0.1659867
Brazil,10,20,8,8,700,5.69503045,3.98672113,97809.3723,707.654579,100665.05,74.7289728,52.3334781,-126.430423,2.28918059,0.053038767,4.80275622,6.08359993,9.92E-05,4.92722155,1.34E-84,1.38E-78,34.2112197,2.08E-80,0.019400926,0.346677204,0.219039633
Brazil,10,20,8,8,750,7.1179156,4.98279066,122255.687,885.037663,125821.583,92.5209236,65.4103757,-158.069849,2.86074006,0.065776441,6.00365822,7.60356402,0.000914009,6.15846952,2.65E-87,1.73E-78,42.7587817,2.60E-80,0.024248183,0.434018757,0.273765984
Brazil,10,20,8,8,800,8.58455886,6.00949241,147434.884,1066.69225,151740.93,112.644598,78.886293,-190.576925,3.45070516,0.079957894,7.23953881,9.17027962,0.000135646,7.42717779,2.06E-84,2.09E-78,51.5692115,3.14E-80,0.029244513,0.522587633,0.330175341
Brazil,10,20,8,8,850,10.0951321,7.06694666,173382.385,1254.4526,178442.99,132.465929,92.7674295,-224.118935,4.05763216,0.09397297,8.51359564,10.7839184,0.000242845,8.73411448,2.42E-84,2.45E-78,60.6435355,3.69E-80,0.034390494,0.614496318,0.388274311
Brazil,10,20,8,8,900,11.649739,8.15522604,200077.958,1447.54359,205921.515,152.865078,107.053231,-258.621455,4.68289144,0.108524024,9.82441974,12.4445957,0.00015809,10.0791,2.82E-84,2.83E-78,69.9823792,4.26E-80,0.039686482,0.709201256,0.448066884
Brazil,10,20,8,8,950,13.2484254,9.27436261,227533.627,1646.15127,234179.737,173.84262,121.744085,-294.107266,5.32569167,0.123450168,11.1725203,14.1523599,0.000128046,11.4622356,3.23E-84,3.22E-78,79.5860174,4.84E-80,0.045132633,0.806557232,0.509554823
Brazil,10,20,8,8,1000,14.8911886,10.4243545,255745.018,1850.16503,263216.144,195.398532,136.839989,-330.563002,5.98652691,0.138850157,12.5576073,15.9072084,1.89E-06,12.8834813,3.66E-84,3.62E-78,89.4544344,5.44E-80,0.050728939,0.906654677,0.572738025
Brazil,10,20,8,8,1050,16.5779868,11.6051724,284716.285,2059.83469,293033.355,217.532242,152.340512,-368.018668,6.66423616,0.154495471,13.9803098,17.7090959,0.000128449,14.3428882,4.06E-84,4.03E-78,99.5873779,6.06E-80,0.056475255,1.00928136,0.637614877
Brazil,10,20,8,8,1100,18.3087466,12.816765,314470.278,2275.78365,323638.339,240.24273,168.24487,-406.550064,7.35595636,0.169821958,15.4422101,19.5579426,0.001372623,15.8406095,4.32E-84,4.44E-78,109.984407,6.69E-80,0.062371331,1.11391185,0.704182563
Brazil,10,20,8,8,1150,20.0833706,14.0590641,344916.883,2495.27064,354993.626,263.528962,184.552643,-445.821859,8.07388028,0.187263151,16.9361273,21.4536508,2.16E-06,17.3756263,4.96E-84,4.88E-78,120.64494,7.34E-80,0.06841684,1.22278692,0.77243733
Brazil,10,20,8,8,1200,21.9017428,15.3319884,376156.761,2721.55082,387139.979,287.389135,201.262197,-486.230455,8.80330633,0.20390066,18.4704687,23.396089,0.000488493,18.9489579,5.35E-84,5.32E-78,131.568276,8.01E-80,0.074611382,1.33320809,0.842374725
China,13,40,14,15,500,0.773362683,0.541381012,13283.0726,96.1770501,13671.2257,10.1472569,7.10667132,-17.1784188,0.310510729,0.007126957,0.652400718,0.826128626,0.000123313,0.669124751,1.39E-84,1.88E-79,4.64574861,2.83E-81,0.002634569,0.047036194,0.029744719
China,13,40,14,15,550,2.99896589,2.09938135,51505.9584,372.687625,53008.7804,39.3208536,27.55872,-66.575825,1.20572558,0.027699751,2.52902858,3.20358066,0.000108752,2.59465637,1.56E-84,7.32E-79,18.0154037,1.09E-80,0.010216399,0.183742687,0.115344842
China,13,40,14,15,600,5.29990272,3.71011786,91025.6007,658.72036,93682.6392,68.7119978,48.7040728,-117.660076,2.13174631,0.049192654,4.46942007,5.66150974,0.000316101,4.58542091,2.31E-87,1.29E-78,31.8376048,1.94E-80,0.018054866,0.323732068,0.203842412
China,13,40,14,15,650,7.67707341,5.37422074,131850.391,953.981775,135692.12,99.7486323,70.548936,-170.41612,3.08813814,0.071482515,6.47376322,8.20087422,0.000191092,6.64205778,2.54E-87,1.87E-78,46.1177585,2.81E-80,0.026153034,0.468527713,0.295272054
