,Brazil,China,Saudi_Arabia,Spain,USA
H2 [USD/kg],2.2,2.3,2.4,2.3,1.6
CH4 [USD/kg],2.438,0.8664,0.3704,2.014,0.636
"C2H6,C2H4 [USD/kg]",1.26,1.06,0.99,1.2,0.56
C4~C9 (naptha) [USD/kg],0.841,1.14366,0.7,0.7,0.7
C10~C16 (dissel) [USD/kg],1.491666667,1.271428571,0.238095238,2.122619048,1.457142857
CaCO3 [USD/kg],0.37,0.64,0.4,0.28,0.37
MgCO3 [USD/kg],0.7,0.7,0.7,0.7,0.7
Gypsum [USD/kg],0.5,0.5,0.5,0.5,0.5
HCL [USD/kg],15000,15000,15000,15000,15000
Electricity [USD/kWh],0.17,0.08,0.05,0.36,0.18
Cooling price [USD/cal],2.76E-07,1.30E-07,8.11E-08,5.84E-07,2.92E-07
Heating price [USD/cal],2.76E-07,1.30E-07,8.11E-08,5.84E-07,2.92E-07
