,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h),WFGD_EAC,WFGD_TPC,WFGD_REV
0,Brazil,10,20,8,8,500,0.434800055,0.304375294,7468.70759,54.1205897,7686.8856,5.69100105,3.99549868,-9.66432736,0.17434072,0.003992017,0.366930359,0.464466377,0.00013478,0.376211837,3.15e-85,1.0500000000000001e-79,2.6119334,1.59e-81,0.001481208,0.026284731,0.016723079,30094.721985916312,5877.392348585759,111.71010675000001
1,Brazil,10,20,8,8,550,1.68600393,1.18026191,28958.8042,209.579343,29803.1247,21.5874893,15.4942507,-37.4273058,0.678744382,0.015606504,1.42169358,1.80103721,0.000137968,1.45872235,3.23e-87,4.1200000000000004e-79,10.1281716,6.1499999999999995e-81,0.005743609,0.103443244,0.064846305,67829.35882266078,15169.299915431491,439.63378700000004
2,Brazil,10,20,8,8,600,2.97945283,2.08572152,51171.6343,370.275128,52666.1285,37.9690414,27.3813004,-66.1251402,1.20028853,0.027660395,2.51203866,3.18273562,0.000125046,2.57777818,6.66e-87,7.290000000000001e-79,17.8981845,1.09e-80,0.010149925,0.183111369,0.114594339,95433.73850153746,22998.463788641173,778.22331825
3,Brazil,10,20,8,8,650,4.31565419,3.02110936,74122.1098,536.348384,76283.7584,55.8115975,39.6595068,-95.8006594,1.73644738,0.040062689,3.63918288,4.61010615,0.000201918,3.73384527,2.23e-87,1.05e-78,25.9250213,1.58e-80,0.014701884,0.26401093,0.1659867,119179.89355955136,30361.083475634678,1122.0464525
4,Brazil,10,20,8,8,700,5.69503045,3.98672113,97809.3723,707.654579,100665.05,74.7289728,52.3334781,-126.430423,2.28918059,0.053038767,4.80275622,6.08359993,9.92e-05,4.92722155,1.34e-84,1.38e-78,34.2112197,2.08e-80,0.019400926,0.346677204,0.219039633,140745.4881291801,37508.86578810291,1473.378117
5,Brazil,10,20,8,8,750,7.1179156,4.98279066,122255.687,885.037663,125821.583,92.5209236,65.4103757,-158.069849,2.86074006,0.065776441,6.00365822,7.60356402,0.000914009,6.15846952,2.65e-87,1.73e-78,42.7587817,2.6e-80,0.024248183,0.434018757,0.273765984,160893.53996881595,44538.353201783044,1844.57971725
6,Brazil,10,20,8,8,800,8.58455886,6.00949241,147434.884,1066.69225,151740.93,112.644598,78.886293,-190.576925,3.45070516,0.079957894,7.23953881,9.17027962,0.000135646,7.42717779,2.0599999999999997e-84,2.09e-78,51.5692115,3.14e-80,0.029244513,0.522587633,0.330175341,180020.35782791302,51537.07021896178,2220.99744025
7,Brazil,10,20,8,8,850,10.0951321,7.06694666,173382.385,1254.4526,178442.99,132.465929,92.7674295,-224.118935,4.05763216,0.09397297,8.51359564,10.7839184,0.000242845,8.73411448,2.42e-84,2.45e-78,60.6435355,3.69e-80,0.034390494,0.614496318,0.388274311,198401.21967759464,58537.03638879428,2611.6093515000007
8,Brazil,10,20,8,8,900,11.649739,8.15522604,200077.958,1447.54359,205921.515,152.865078,107.053231,-258.621455,4.68289144,0.108524024,9.82441974,12.4445957,0.00015809,10.0791,2.82e-84,2.83e-78,69.9823792,4.26e-80,0.039686482,0.709201256,0.448066884,216196.16113043873,65563.70132464191,3014.105338
9,Brazil,10,20,8,8,950,13.2484254,9.27436261,227533.627,1646.15127,234179.737,173.84262,121.744085,-294.107266,5.32569167,0.123450168,11.1725203,14.1523599,0.000128046,11.4622356,3.2299999999999998e-84,3.22e-78,79.5860174,4.84e-80,0.045132633,0.806557232,0.509554823,233529.9335182811,72640.06152100723,3427.868236
10,Brazil,10,20,8,8,1000,14.8911886,10.4243545,255745.018,1850.16503,263216.144,195.398532,136.839989,-330.563002,5.98652691,0.138850157,12.5576073,15.9072084,1.89e-06,12.8834813,3.66e-84,3.62e-78,89.4544344,5.4400000000000005e-80,0.050728939,0.906654677,0.572738025,250488.50406188972,79777.38255881995,3853.28237725
