Adsorbent,Isotherm model_CO2,Isotherm model_CH4,qm_CO2,b_CO2,qm_CH4,b_CH4,Re_par_CO2,Re_par_CH4
Cu-MOF,NaN,NaN,12.95,0.1948,9.98,0.0472,NaN,NaN
zeolite 13X,NaN,NaN,3.75E+00,434140.721,1.42E+01,31.15076111,NaN,NaN
CMS-3K,NaN,NaN,2.47E+00,2247521.379,2.13E+00,86540.96677,NaN,NaN
MOF-508b,NaN,NaN,1.11E+01,131.6962791,5.25E+00,0.467164861,NaN,NaN
STT,DualsiteSips,NaN,0,0,5.00E+00,5.51E-02,"[0.436, 1.26E+01, 1.087, 2.706, 5.56E-01, 0.792]",NaN
MOF UMCM-1,NaN,NaN,1.01E+02,0.103,59.226,0.072,NaN,NaN
Pine sawdust activated carbon,LangFreu,LangFreu,0,0,0,0,"[6.107, 6.312E-04, 0.7315, 2.108E+03, 8.507E-04, 1.982E+03]","[5.864, 6.03E-04, 7.831E-01, 1.864E+03, 7.688E-04, 1.847E+03]"
UTSA-16 ,DualsiteLang,DualsiteLang,0,0,0,0,"[4.079, 1.289, 1.734E-11, 1.247E-13]","[2.148, 0.772, 2.772E-09, 4.163E-04]"
BPL AC,DualsiteLang,DualsiteLang,0,0,0,0,"[4.25, 0, 3.515E-09, 0]","[2.731, 0, 8.514E-08, 0]"
CS-CO2,Toth,Toth,0,0,0,0,"[18.07, 0.28, 0.42]","[8.9, 0.16, 0.54]"
CS-H2O,Sips,Sips,0,0,0,0,"[9.9, 0.1, 1.4]","[5.96, 0.09,1.24]"
Na-ZSM-5,DualsiteLang,NaN,0,0,2,5.53E-02,"[2.78, 0.04, 5.03E-01, 2.47E+01]",NaN
MAC,Toth,Toth,0,0,0,0,"[6.61, 0.392E-03, 0.735]","[1.67, 0.615E-03, 0.983]"
zeolite 13X - after,NaN,Toth,4.7779,7.3855,0,0,NaN,"[9.842, 5.01E-02, 0.637]"
CMS-3K - after,NaN,NaN,2.68,34082340.62,2.898,555537.1738,NaN,NaN
KZ10-04,NaN,NaN,2.58,68046.83499,2.4,48.01724528,NaN,NaN
Z10-04,NaN,NaN,5.34,6542950.467,6,55.51098154,NaN,NaN
NaUSY,NaN,NaN,5.3,1312729.058,1.5,150.9399637,NaN,NaN
zeolite 13X - Msl,MSL,MSL,0,0,0,0,"[17.901, 2.27, 13.12]","[28.871, 1.49E-02, 8.136]"
