Country,HDPE[kg/h],LDPE[kg/h],PP[kg/h],PS[kg/h],Total[kg/h],Heater_T,HDPDCOM_HD,LPDECOM_HD,PPDECOM_HD,PSDECOM_HD,HEATER_HD,RPLUG_HD,RPYRO_HD,B2,H2O,H2,CO,CO2,CH4,C2H6,C2H4,C4H10,C6H6,C7H8,C8H10,C9H18,C10H8,C10H14,C14H30,C16H34,C22H46,C,O2,C6H6O,N2,CL2,S,NRP,ASH,HDPE,PP,PS,LDPE,PUMP_WNET,PUMP_VFLOW,COMP_WNET,COMP_FEED_VFLOW,HEAT1_QCALC,COOL1_QCALC,HX1_HX_AREAC,HX1_HX_DUTY,HX2_HX_AREAC,HX2_HX_DUTY,SMR_QCALC,SMR_TOT_MASS_ABS,CH4,CO,CO2,H2,H2O,H2 production
Brazil ,10,20,8,8,46,450,2396.45547,4751.80836,1980.26732,746.788816,-354.032844,-3477.56035,800.364345,-4428.11544,0,0,0,0,3.9565731,0.78089936,3.35937933,1.21248634,2.19759752,0.670014375,0.042781019,0.078157852,0.000727926,0.001562619,0.000341823,7.94754E-06,7.12776E-07,0,0,0,0.001997882,0,0,,,,,,,0.021008797,0.169479163,1.05614977,102.360381,72.7031471,-991.008444,0.028313054,808.537369,0.026698124,1517.66951,4803.88522,17.2866635,0,0.280104,7.49213058,0.0604764,0,1.42101621
Brazil ,10,20,8,8,46,500,2396.45547,4751.80836,1980.26732,746.788816,198.690978,-3248.45014,800.364345,-4410.25218,0,0,0,0,4.32880012,0.854749122,3.67646424,1.33210698,2.64557287,0.800359257,0.050917343,0.069267643,0.000817997,0.001865002,0.000316235,7.55107E-06,7.36862E-07,0,0.00E+00,0.00E+00,0.001998028,0,0,,,,,,,0.021008797,0.169479163,1.15551037,111.990254,79.5429236,-991.008444,0.030945581,884.603057,0.026698124,1517.66951,5255.82578,18.9129606,0,0.280104,8.1952175,0.0604764,0,1.55463012
Brazil ,10,20,8,8,46,550,2396.45547,4751.80836,1980.26732,746.788816,770.455102,-3001.78882,800.364345,-4403.84209,0,0.083768011,0,0,4.53871961,0.897286743,3.85761721,1.41689032,3.16384233,0.964563131,0.061574632,0.065195804,0.000938286,0.002271185,0.000312296,7.67255E-06,8.19115E-07,0,0,0,0.001998255,0,0,,,,,,,0.021008797,0.169479163,1.21154533,117.421075,83.4002535,-991.008444,0.032480602,927.500723,0.026698124,1517.66951,5510.70017,19.8301198,0,0.280104,8.59457587,0.0604764,0,1.63010009
Brazil ,10,20,8,8,46,600,2396.45547,4751.80836,1980.26732,746.788816,1361.52398,-2757.92976,800.364345,-4401.45012,0,0.25023392,0,0,4.59406644,0.909717804,3.90855572,1.46409042,3.76810682,1.17487995,0.075777546,0.064548508,0.001103998,0.002824883,0.000324634,8.20447E-06,9.57259E-07,0,0.00E+00,1.42E-11,0.001998509,0,0,,,,,,,0.021008797,0.169479163,1.22631936,118.852951,84.4172671,-991.008444,0.032945109,938.811011,0.026698124,1517.66951,5577.89969,20.0719357,0,0.280104,8.70323836,0.0604764,0,1.65013745
Brazil ,10,20,8,8,46,650,2396.45547,4751.80836,1980.26732,746.788816,1972.12951,-2567.10193,800.364345,-4406.49158,0,3.96E-01,0,0,4.59204324,0.910232727,3.9092261,1.48257657,4.25919696,1.34825418,0.087670594,0.061772356,0.001223923,0.003304472,0.000326768,8.50431E-06,1.08761E-06,0,0,0,0.001998667,0,0,,,,,,,0.021008797,0.169479163,1.2257793,118.800609,84.3800902,-991.008444,0.032930601,938.397564,0.026698124,1517.66951,5575.44321,20.0630961,0,0.280104,8.69940596,0.0604764,0,1.64941076
Brazil ,10,20,8,8,46,700,2396.45547,4751.80836,1980.26732,746.788816,2602.46472,-2425.72503,800.364345,-4415.27016,0,0.524818294,0,0,4.55010262,0.902537722,3.87513428,1.48238471,4.66246519,1.4925002,0.097731082,0.058200656,0.001312477,0.003725008,0.00032327,8.65934E-06,1.2116E-06,0,0,0,0.001998775,0,0,,,,,,,0.021008797,0.169479163,1.21458386,117.715565,83.6094195,-991.008444,0.032629835,929.826875,0.026698124,1517.66951,5524.52088,19.8798534,0,0.280104,8.61995079,0.0604764,0,1.63434613
Brazil ,10,20,8,8,46,750,2396.45547,4751.80836,1980.26732,746.788816,3252.68224,-2329.54404,800.364345,-4426.17004,0,6.38E-01,0,0,4.48333787,0.889730964,3.81940903,1.47032262,4.99494653,1.61279278,0.106261134,0.054398254,0.001378857,0.004094522,0.000315958,8.69759E-06,1.32477E-06,0,0,0,0.001998852,0,0,,,,,,,0.021008797,0.169479163,1.19676198,115.988296,82.3825984,-991.008444,0.032070809,916.183301,0.026698124,1517.66951,5443.45826,19.5881515,0,0.280104,8.48894247,0.0604764,0,1.61017804
Brazil ,10,20,8,8,46,800,2396.45547,4751.80836,1980.26732,746.788816,3922.89597,-2274.10687,800.364345,-4438.09576,0,0.738151343,0,0,4.40224015,0.873955087,3.75114728,1.45096931,5.27127563,1.71382472,0.113540109,0.05064923,0.001429927,0.004420445,0.000305926,8.63573E-06,1.4221E-06,0,0,6.65979E-12,0.001998909,0,0,,,,,,,0.021008797,0.169479163,1.17511412,113.890219,80.8924049,-991.008444,0.031515297,899.610743,0.026698124,1517.66951,5344.99322,19.2338274,0,0.280104,8.33677957,0.0604764,0,1.58110948
Brazil ,10,20,8,8,46,850,2396.45547,4751.80836,1980.26732,746.788816,4613.1844,-2255.35624,800.364345,-4450.32317,0,0.825844082,0,0,4.31382362,0.856640381,3.67642504,1.42736843,5.50317129,1.7994345,0.119798304,0.047090264,0.001470409,0.004708933,0.000293967,8.48857E-06,1.49975E-06,0,0,0,0.001998953,0,0,,,,,,,0.021008797,0.169479163,1.15151261,111.602798,79.2677262,-991.008444,0.030881828,881.542565,0.026698124,1517.66951,5237.64202,18.8475268,0,0.280104,8.16931169,0.0604764,0,1.54935261
Brazil ,10,20,8,8,46,900,2396.45547,4751.80836,1980.26732,746.788816,5323.59498,-2269.57929,800.364345,-4462.65191,0,0.902543263,0,0,4.22317747,0.838819367,3.59963711,1.4016328,5.69849642,1.87199778,0.125168928,0.043764965,0.001502785,0.004962983,0.000280632,8.26916E-06,1.55548E-06,0,0,7.15477E-12,0.001998986,0,0,,,,,,,0.021008797,0.169479163,1.12731594,109.257694,77.6020776,-991.008444,0.030232667,863.018757,0.026698124,1517.66951,5127.58372,18.4514847,0,0.280104,7.99763668,0.0604764,0,1.51679558
