,CH4 flowrate,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC,HEAT1_HX_DUTY,HEAT2_HX_AREAC,HEAT2_HX_DUTY,COOL1_HX_AREAC,COOL1_HX_DUTY,HX1_HX_AREAC,HX1_HX_DUTY,HX2_HX_AREAC,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,CH4,CO,CO2,H2,H2O
0,4.32880012,0.030314295,1.15549968,0.011237824,79.5307335,0.009111766,10.8719518,0.265424296,1431.32044,0.031016181,884.603057,0.038520548,2189.74768,18.9129607,5247.68545,18.9129606,18.9129606,-6.84852731,1.21208515,-0.170909712,10.9232815,0.442437535,4.32880012,8.52699675,1.55151723,14.5841605,14.5841605,18.9129607,18.9129607,6.43816198,12.4747987,10.9232815,1.55151723,10.9232815,10.9232815,8.52699675,2.39628471,4.32880012,4.32880012,14.5841605,14.5841605,18.9129606,18.9129606,18.9129606,18.9129607,18.9129607,0,0,0.280104,8.18641635,0.0604764,0
0,4.53871961,0.031784347,1.21153413,0.011795204,83.3874722,0.009556456,11.3992483,0.279502146,1500.69839,0.032521847,927.500723,0.040388552,2295.93662,19.8301198,5502.16508,19.8301198,19.8301198,-7.180679,1.27086586,-0.183377341,11.4530281,0.46389337,4.53871961,8.9240751,1.6267597,15.2914002,15.2914002,19.8301198,19.8301198,6.75033206,13.0797878,11.4530281,1.6267597,11.4530281,11.4530281,8.9240751,2.52895299,4.53871961,4.53871961,15.2914002,15.2914002,19.8301198,19.8301198,19.8301198,19.8301198,19.8301198,0,0,0.280104,8.5834947,0.0604764,0
0,4.59406644,0.032171937,1.22630802,0.011942358,84.40433,0.009675413,11.5415092,0.28302947,1517.61014,0.032986846,938.811011,0.040881065,2323.93412,20.0719357,5569.26052,20.0719357,20.0719357,-7.27003019,1.28645965,-0.186751894,11.5942681,0.46956788,4.59406644,9.03258907,1.64675578,15.4778692,15.4778692,20.0719357,20.0719357,6.83091188,13.2410239,11.5942681,1.64675578,11.5942681,11.5942681,9.03258907,2.56167902,4.59406644,4.59406644,15.4778692,15.4778692,20.0719357,20.0719357,20.0719357,20.0719357,20.0719357,0,0,0.280104,8.69200867,0.0604764,0
0,4.59204324,0.032157768,1.22576796,0.011936978,84.3671588,0.009671124,11.5364257,0.28289294,1516.94175,0.032972319,938.397564,0.040863061,2322.91068,20.0630961,5566.80785,20.0630961,20.0630961,-7.26682854,1.28589311,-0.186631205,11.5891622,0.469361086,4.59204324,9.02876161,1.64603058,15.4710529,15.4710529,20.0630961,20.0630961,6.82790336,13.2351928,11.5891622,1.64603058,11.5891622,11.5891622,9.02876161,2.56040058,4.59204324,4.59204324,15.4710529,15.4710529,20.0630961,20.0630961,20.0630961,20.0630961,20.0630961,0,0,0.280104,8.68818121,0.0604764,0
0,4.55010262,0.031864061,1.21457263,0.011825462,83.5966062,0.009582236,11.4310594,0.280065413,1503.08708,0.032671172,929.826875,0.040489845,2301.69478,19.8798534,5515.96439,19.8798534,19.8798534,-7.20045786,1.27414861,-0.184130541,11.4833143,0.465074256,4.55010262,8.94940896,1.63099682,15.3297507,15.3297507,19.8798534,19.8798534,6.76554222,13.1143112,11.4833143,1.63099682,11.4833143,11.4833143,8.94940896,2.53390538,4.55010262,4.55010262,15.3297507,15.3297507,19.8798534,19.8798534,19.8798534,19.8798534,19.8798534,0,0,0.280104,8.60882856,0.0604764,0
0,4.48333787,0.031396512,1.19675091,0.01164804,82.3699731,0.009438783,11.259499,0.275816084,1482.66534,0.032111316,916.183301,0.039895728,2267.92146,19.5881516,5435.02731,19.5881515,19.5881515,-7.09270049,1.2553393,-0.180066337,11.3129605,0.458229373,4.48333787,8.81856623,1.60687797,15.1048136,15.1048136,19.5881516,19.5881516,6.66831313,12.9198385,11.3129605,1.60687797,11.3129605,11.3129605,8.81856623,2.49439425,4.48333787,4.48333787,15.1048136,15.1048136,19.5881515,19.5881515,19.5881515,19.5881516,19.5881516,0,0,0.280104,8.47798583,0.0604764,0
0,4.40224015,0.03082859,1.17510325,0.011432689,80.880008,0.009267613,11.0570132,0.270298487,1455.34186,0.031555257,899.610743,0.039174067,2226.89773,19.2338274,5336.71478,19.2338274,19.2338274,-6.9650525,1.23266688,-0.175276799,11.1088971,0.449947006,4.40224015,8.66660741,1.57786934,14.8315873,14.8315873,19.2338274,19.2338274,6.547061,12.6867664,11.1088971,1.57786934,11.1088971,11.1088971,8.66660741,2.44228969,4.40224015,4.40224015,14.8315873,14.8315873,19.2338274,19.2338274,19.2338274,19.2338274,19.2338274,0,0,0.280104,8.32602701,0.0604764,0
0,4.31382362,0.030209415,1.15150196,0.011198103,79.2555783,0.00908035,10.834915,0.264388126,1426.12224,0.03092099,881.542565,0.038387277,2182.17173,18.8475268,5229.52985,18.8475268,18.8475268,-6.82515031,1.20790876,-0.170036488,10.8857696,0.440909944,4.31382362,8.49935582,1.54617757,14.5337032,14.5337032,18.8475268,18.8475268,6.41557959,12.4319472,10.8857696,1.54617757,10.8857696,10.8857696,8.49935582,2.3864138,4.31382362,4.31382362,14.5337032,14.5337032,18.8475268,18.8475268,18.8475268,18.8475268,18.8475268,0,0,0.280104,8.15877542,0.0604764,0
0,4.22317747,0.029574626,1.12730551,0.010957819,77.5901849,0.00888842,10.6072301,0.258350419,1396.16009,0.030271008,863.018757,0.037580648,2136.31787,18.4514847,5119.64201,18.4514847,18.4514847,-6.68172747,1.18252669,-0.164678635,10.657022,0.431645064,4.22317747,8.32790238,1.51368726,14.2283072,14.2283072,18.4514847,18.4514847,6.28077546,12.1707092,10.657022,1.51368726,10.657022,10.657022,8.32790238,2.32911959,4.22317747,4.22317747,14.2283072,14.2283072,18.4514847,18.4514847,18.4514847,18.4514847,18.4514847,0,0,0.280104,7.98732198,0.0604764,0
0,4.13135138,0.028931574,1.1027941,0.01071463,75.9031132,0.008694041,10.3765841,0.252257073,1365.80679,0.029612622,844.253825,0.036763518,2089.86713,18.0502873,5008.32376,18.0502873,18.0502873,-6.53643919,1.15681431,-0.159266649,10.425298,0.422259598,4.13135138,8.15422027,1.48077416,13.9189359,13.9189359,18.0502873,18.0502873,6.14421517,11.9060721,10.425298,1.48077416,10.425298,10.425298,8.15422027,2.27107772,4.13135138,4.13135138,13.9189359,13.9189359,18.0502873,18.0502873,18.0502873,18.0502873,18.0502873,0,0,0.280104,7.81363987,0.0604764,0
