,Country,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC2,HEAT1_HX_DUTY,HEAT2_HX_AREAC2,HEAT2_HX_DUTY,COOL1_HX_AREAC2,COOL1_HX_DUTY,HX1_HX_AREAC2,HX1_HX_DUTY,HX2_HX_AREAC2,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,CO,CO2.1,H2.1,SMR_EAC,SMR_TPC,SMR_REV
0,Brazil,0.030314295,1.15551037,0.011093568,79.5281814,0.009089904,10.871952,0.255056547,-1431.32044,0.031016181,884.603057,0.038520548,2189.74768,18.9129607,5247.68545,18.9129606,18.9129606,-6.84852733,1.21208515,-0.170909712,10.9232815,0.442437535,4.32880012,8.52699675,1.55151723,14.5841605,14.5841605,18.9129607,18.9129607,6.43816197,12.4747987,10.9232815,1.55151723,10.9232815,10.9232815,8.52699675,2.39628471,4.32880012,4.32880012,14.5841605,14.5841605,18.9129606,18.9129606,18.9129606,18.9129607,18.9129607,0,0.280104,8.18641635,0.0604764,62850.35947561058,181575.2864403208,29013.372201000002
1,Brazil,0.031784347,1.21154533,0.011636349,83.3847963,0.009532408,11.3992483,0.268021187,-1500.69839,0.032521847,927.500723,0.040388552,2295.93662,19.8301198,5502.16508,19.8301198,19.8301198,-7.18067901,1.27086586,-0.183377341,11.4530281,0.46389337,4.53871961,8.9240751,1.6267597,15.2914002,15.2914002,19.8301198,19.8301198,6.75033206,13.0797878,11.4530281,1.6267597,11.4530281,11.4530281,8.9240751,2.52895299,4.53871961,4.53871961,15.2914002,15.2914002,19.8301198,19.8301198,19.8301198,19.8301198,19.8301198,0,0.280104,8.5834947,0.0604764,64852.2169703937,190217.16387629253,30420.406390000004
2,Brazil,0.032171937,1.22631936,0.011779532,84.4016215,0.009650764,11.5415092,0.271260318,-1517.61014,0.032986846,938.811011,0.040881065,2323.93412,20.0719357,5569.26052,20.0719357,20.0719357,-7.27003019,1.28645965,-0.186751894,11.5942681,0.46956788,4.59406644,9.03258907,1.64675578,15.4778692,15.4778692,20.0719357,20.0719357,6.83091188,13.2410239,11.5942681,1.64675578,11.5942681,11.5942681,9.03258907,2.56167902,4.59406644,4.59406644,15.4778692,15.4778692,20.0719357,20.0719357,20.0719357,20.0719357,20.0719357,0,0.280104,8.69200867,0.0604764,65377.90373155511,192471.82935573137,30794.333086000002
3,Brazil,0.032157768,1.2257793,0.011774298,84.3644513,0.009646498,11.5364257,0.271134981,-1516.94175,0.032972319,938.397562,0.040863061,2322.91067,20.0630961,5566.80784,20.0630961,20.0630961,-7.26682852,1.28589311,-0.186631204,11.5891622,0.469361085,4.59204323,9.02876159,1.64603057,15.4710528,15.4710528,20.0630961,20.0630961,6.82790334,13.2351927,11.5891622,1.64603057,11.5891622,11.5891622,9.02876159,2.56040057,4.59204323,4.59204323,15.4710528,15.4710528,20.0630961,20.0630961,20.0630961,20.0630961,20.0630961,0,0.280104,8.68818119,0.0604764,65358.83216320372,192388.57809514456,30780.771659
4,Brazil,0.031864061,1.21458386,0.011665795,83.5939238,0.00955806,11.4310595,0.268538145,-1503.08709,0.032671173,929.826877,0.040489845,2301.69479,19.8798534,5515.9644,19.8798534,19.8798534,-7.20045788,1.27414862,-0.184130542,11.4833144,0.465074257,4.55010263,8.94940897,1.63099682,15.3297508,15.3297508,19.8798534,19.8798534,6.76554224,13.1143112,11.4833144,1.63099682,11.4833144,11.4833144,8.94940897,2.53390539,4.55010263,4.55010263,15.3297508,15.3297508,19.8798534,19.8798534,19.8798534,19.8798534,19.8798534,0,0.280104,8.60882857,0.0604764,64962.854706300044,190662.71757020697,30499.640534000002
5,Brazil,0.031396512,1.19676198,0.011493107,82.36733,0.009415324,11.2594991,0.264632055,-1482.66534,0.032111316,916.183303,0.039895728,2267.92147,19.5881516,5435.02733,19.5881515,19.5881515,-7.0927005,1.25533931,-0.180066338,11.3129605,0.458229374,4.48333788,8.81856625,1.60687797,15.1048137,15.1048137,19.5881516,19.5881516,6.66831314,12.9198385,11.3129605,1.60687797,11.3129605,11.3129605,8.81856625,2.49439426,4.48333788,4.48333788,15.1048137,15.1048137,19.5881515,19.5881515,19.5881515,19.5881516,19.5881516,0,0.280104,8.47798585,0.0604764,64326.48913439238,187942.2125619604,30048.618039000005
6,Brazil,0.03082859,1.17511412,0.011283408,80.8774125,0.009244997,11.0570132,0.259551448,-1455.34186,0.031555257,899.610743,0.039174067,2226.89773,19.2338274,5336.71478,19.2338274,19.2338274,-6.9650525,1.23266688,-0.175276799,11.1088971,0.449947006,4.40224015,8.66660741,1.57786934,14.8315873,14.8315873,19.2338274,19.2338274,6.547061,12.6867664,11.1088971,1.57786934,11.1088971,11.1088971,8.66660741,2.44228969,4.40224015,4.40224015,14.8315873,14.8315873,19.2338274,19.2338274,19.2338274,19.2338274,19.2338274,0,0.280104,8.32602701,0.0604764,63554.79173754653,184595.00831273498,29506.156658000004
7,Brazil,0.030209415,1.15151261,0.011054861,79.253035,0.009058639,10.834915,0.254100024,-1426.12224,0.03092099,881.542565,0.038387277,2182.17173,18.8475268,5229.52985,18.8475268,18.8475268,-6.82515031,1.20790876,-0.170036488,10.8857696,0.440909944,4.31382362,8.49935582,1.54617757,14.5337032,14.5337032,18.8475268,18.8475268,6.41557959,12.4319472,10.8857696,1.54617757,10.8857696,10.8857696,8.49935582,2.3864138,4.31382362,4.31382362,14.5337032,14.5337032,18.8475268,18.8475268,18.8475268,18.8475268,18.8475268,0,0.280104,8.15877542,0.0604764,62706.88536054473,180954.40750132944,28913.520559000004
8,Brazil,0.029574624,1.12731586,0.010820632,77.5876901,0.008867616,10.6072295,0.248521054,-1396.16,0.030271006,863.018702,0.037580645,2136.31773,18.4514835,5119.64168,18.4514835,18.4514835,-6.68172704,1.18252662,-0.164678619,10.6570213,0.431645037,4.2231772,8.32790187,1.51368716,14.2283063,14.2283063,18.4514835,18.4514835,6.28077506,12.1707084,10.6570213,1.51368716,10.6570213,10.6570213,8.32790187,2.32911942,4.2231772,4.2231772,14.2283063,14.2283063,18.4514835,18.4514835,18.4514835,18.4514835,18.4514835,0,0.280104,7.98732147,0.0604764,61831.67715961354,177220.97153846052,28305.949892
9,Brazil,0.028931574,1.10280429,0.010583442,75.9006775,0.008674138,10.3765841,0.242880368,-1365.80679,0.029612622,844.253825,0.036763518,2089.86713,18.0502873,5008.32376,18.0502873,18.0502873,-6.53643919,1.15681431,-0.159266649,10.425298,0.422259598,4.13135138,8.15422027,1.48077416,13.9189359,13.9189359,18.0502873,18.0502873,6.14421516,11.9060721,10.425298,1.48077416,10.425298,10.425298,8.15422027,2.27107772,4.13135138,4.13135138,13.9189359,13.9189359,18.0502873,18.0502873,18.0502873,18.0502873,18.0502873,0,0.280104,7.81363987,0.0604764,60938.78468482479,173437.9605214762,27690.476791999998
10,Brazil,0.028307937,1.07903269,0.010353494,74.2645934,0.008486535,10.152913,0.237419873,-1336.36501,0.028974353,826.055433,0.035971058,2044.81881,17.6612027,4900.36637,17.6612027,17.6612027,-6.39554365,1.13187856,-0.154034089,10.2005756,0.413157555,4.04229765,7.9857954,1.44885531,13.618905,13.618905,17.6612027,17.6612027,6.01177171,11.649431,10.2005756,1.44885531,10.2005756,10.2005756,7.9857954,2.21478025,4.04229765,4.04229765,13.618905,13.618905,17.6612027,17.6612027,17.6612027,17.6612027,17.6612027,0,0.280104,7.645215,0.0604764,60066.6218743418,169768.1008755268,27093.594297
11,Brazil,0.027707012,1.05612684,0.010131997,72.6880944,0.008305791,9.93738951,0.232167965,-1307.99479,0.028359365,808.519815,0.03520746,2001.41111,17.2862882,4796.34072,17.2862882,17.2862882,-6.25978034,1.10785101,-0.149007629,9.98403834,0.404387011,3.9564872,7.82350639,1.418099,13.329801,13.329801,17.2862882,17.2862882,5.88415089,11.4021373,9.98403834,1.418099,9.98403834,9.98403834,7.82350639,2.16053195,3.9564872,3.9564872,13.329801,13.329801,17.2862882,17.2862882,17.2862882,17.2862882,17.2862882,0,0.280104,7.48292599,0.0604764,59220.241308157936,166230.95211146315,26518.451300000004
12,Brazil,0.027133381,1.03426133,0.00992063,71.183197,0.008133282,9.73165691,0.22716342,-1280.91214,0.027772354,791.780632,0.034478542,1959.97491,16.9284017,4697.03972,16.9284017,16.9284017,-6.13018436,1.0849148,-0.144224464,9.77733682,0.39601482,3.8745741,7.66859085,1.38873969,13.0538276,13.0538276,16.9284017,16.9284017,5.76232518,11.1660765,9.77733682,1.38873969,9.77733682,9.77733682,7.66859085,2.10874597,3.8745741,3.8745741,13.0538276,13.0538276,16.9284017,16.9284017,16.9284017,16.9284017,16.9284017,0,0.280104,7.32801045,0.0604764,58406.66435772857,162853.56027322047,25969.432203
13,Brazil,0.026586768,1.01342574,0.009719282,69.7491846,0.007968921,9.53561515,0.222402709,-1255.10506,0.027212999,775.829911,0.033783959,1920.49048,16.5873726,4602.41608,16.5873726,16.5873726,-6.00669285,1.06305896,-0.139680907,9.58037166,0.388036985,3.79651934,7.52097257,1.36076331,12.7908533,12.7908533,16.5873726,16.5873726,5.64623768,10.941135,9.58037166,1.36076331,9.58037166,9.58037166,7.52097257,2.05939908,3.79651934,3.79651934,12.7908533,12.7908533,16.5873726,16.5873726,16.5873726,16.5873726,16.5873726,0,0.280104,7.18039217,0.0604764,57626.1368542442,159634.43081919712,25446.273897000003
14,Brazil,0.026069067,0.993692176,0.009528641,68.391019,0.007813273,9.34994339,0.217901021,-1230.66248,0.026683251,760.722846,0.033126113,1883.09443,16.2643811,4512.79721,16.2643811,16.2643811,-5.88973358,1.04235914,-0.135391212,9.39382477,0.380481115,3.722593,7.38116332,1.33426668,12.5417881,12.5417881,16.2643811,16.2643811,5.53628962,10.7280915,9.39382477,1.33426668,9.39382477,9.39382477,7.38116332,2.01266145,3.722593,3.722593,12.5417881,12.5417881,16.2643811,16.2643811,16.2643811,16.2643811,16.2643811,0,0.280104,7.04058292,0.0604764,56882.0167607652,156584.79833010968,24950.786916
15,China,0.053779823,2.04996172,0.019811779,141.088935,0.016171223,19.2876548,0.469334982,-2539.26939,0.055025021,1569.35191,0.06833833,3884.77597,33.5530051,9309.78601,33.553005,33.553005,-12.1497991,2.15032961,-0.375277086,19.3787173,0.78491724,7.6796148,14.8638946,2.75250748,25.8733902,25.8733902,33.5530051,33.5530051,11.4217803,22.1312248,19.3787173,2.75250748,19.3787173,19.3787173,14.8638946,4.51482277,7.6796148,7.6796148,25.8733902,25.8733902,33.553005,33.553005,33.553005,33.5530051,33.5530051,0,0.280104,14.5233142,0.0604764,91968.24065465003,157865.62560045914,53811.52123399999
16,China,0.056663112,2.15986595,0.020891049,148.653111,0.017044003,20.3216066,0.496787474,-2675.45548,0.057972672,1653.48929,0.072002141,4093.04977,35.3518763,9808.90993,35.3518763,35.3518763,-12.8011215,2.26561147,-0.400865312,20.4176097,0.826998249,8.09134063,15.6423956,2.90007161,27.2605357,27.2605357,35.3518763,35.3518763,12.0341951,23.3176813,20.4176097,2.90007161,20.4176097,20.4176097,15.6423956,4.77521404,8.09134063,8.09134063,27.2605357,27.2605357,35.3518763,35.3518763,35.3518763,35.3518763,35.3518763,0,0.280104,15.3018152,0.0604764,95225.78700768034,166069.17643722452,56696.3999755
17,China,0.057388632,2.18752112,0.021162905,150.556482,0.017266641,20.5874492,0.503378476,-2707.30517,0.058833564,1674.66076,0.072924065,4145.45764,35.8045259,9934.50431,35.8045257,35.8045257,-12.9681275,2.29478772,-0.407457244,20.6817743,0.837617783,8.19494306,15.8449862,2.93747973,27.6095827,27.6095827,35.8045259,35.8045259,12.1852718,23.619254,20.6817743,2.93747973,20.6817743,20.6817743,15.8449862,4.83678809,8.19494306,8.19494306,27.6095827,27.6095827,35.8045257,35.8045257,35.8045257,35.8045259,35.8045259,0,0.280104,15.5044058,0.0604764,96041.21363529604,168113.3718205838,57427.728721499996
18,China,0.057366109,2.1866626,0.021154464,150.497395,0.017259818,20.5793684,0.503162739,-2706.24257,0.058810474,1674.00352,0.072895445,4143.83071,35.7904738,9930.60539,35.7904738,35.7904738,-12.9630381,2.29388713,-0.40725695,20.6736578,0.837289052,8.19172686,15.8389022,2.93632693,27.598747,27.598747,35.7904738,35.7904738,12.1804891,23.6099847,20.6736578,2.93632693,20.6736578,20.6736578,15.8389022,4.83475554,8.19172686,8.19172686,27.598747,27.598747,35.7904738,35.7904738,35.7904738,35.7904738,35.7904738,0,0.280104,15.4983218,0.0604764,96016.0780264564,168049.34779844587,57405.1914815
19,China,0.056844052,2.16676297,0.020958838,149.127799,0.017101681,20.392086,0.498166839,-2681.61462,0.058275272,1658.76932,0.072232063,4106.11995,35.4647641,9840.23233,35.4647641,35.4647641,-12.8450678,2.27301167,-0.40261479,20.4855175,0.829669332,8.11717839,15.6978592,2.90960496,27.3475857,27.3475857,35.4647641,35.4647641,12.0696417,23.3951225,20.4855175,2.90960496,20.4855175,20.4855175,15.6978592,4.78765833,8.11717839,8.11717839,27.3475857,27.3475857,35.4647641,35.4647641,35.4647641,35.4647641,35.4647641,0,0.280104,15.3572788,0.0604764,95432.55601633443,166565.2094412348,56882.77696799999
20,China,0.05600976,2.13496171,0.020646332,146.939073,0.016845692,20.0863689,0.490603423,-2644.99745,0.057284988,1634.4238,0.071171923,4045.85503,34.9442532,9695.80869,34.944253,34.944253,-12.6530137,2.23946072,-0.39503776,20.1817399,0.817457605,7.99804376,15.4648734,2.86658763,26.9462092,26.9462092,34.9442532,34.9442532,11.8959256,23.0483275,20.1817399,2.86658763,20.1817399,20.1817399,15.4648734,4.71686647,7.99804376,7.99804376,26.9462092,26.9462092,34.944253,34.944253,34.944253,34.9442532,34.9442532,0,0.280104,15.124293,0.0604764,94491.67995337235,164214.10759923983,56041.7881665
21,China,0.054993347,2.09621842,0.020265808,144.27256,0.016539076,19.7239681,0.480786817,-2596.10105,0.056289582,1604.76381,0.069880362,3972.43464,34.3101174,9519.85822,34.3101174,34.3101174,-12.4245555,2.19888344,-0.386067859,19.8165214,0.802634551,7.85290274,15.1928992,2.81467022,26.4572146,26.4572146,34.3101174,34.3101174,11.6789258,22.6311916,19.8165214,2.81467022,19.8165214,19.8165214,15.1928992,4.62362214,7.85290274,7.85290274,26.4572146,26.4572146,34.3101174,34.3101174,34.3101174,34.3101174,34.3101174,0,0.280104,14.8523188,0.0604764,93346.803278226,161315.62004175875,55026.802801
22,China,0.053888246,2.05409454,0.019852332,141.373377,0.016204565,19.327569,0.470298278,-2543.94958,0.055157564,1572.51579,0.068476104,3892.60786,33.6206494,9328.55498,33.6206494,33.6206494,-12.1748591,2.15469527,-0.3762642,19.4182848,0.786505243,7.69509726,14.8943904,2.7581069,25.9255522,25.9255522,33.6206494,33.6206494,11.4442578,22.1763917,19.4182848,2.7581069,19.4182848,19.4182848,14.8943904,4.52389441,7.69509726,7.69509726,25.9255522,25.9255522,33.6206494,33.6206494,33.6206494,33.6206494,33.6206494,0,0.280104,14.55381,0.0604764,92092.5163495181,158170.85150710196,53920.989895
23,China,0.052747775,2.01062242,0.019425894,138.381402,0.01585945,18.9185038,0.45951178,-2490.12041,0.053989734,1539.23564,0.0670269,3810.2261,32.9091141,9131.12879,32.9091141,32.9091141,-11.9171818,2.10909337,-0.366157569,19.0073117,0.769859801,7.53224099,14.5863509,2.69973417,25.3768731,25.3768731,32.9091141,32.9091141,11.2020682,21.7070459,19.0073117,2.69973417,19.0073117,19.0073117,14.5863509,4.42096084,7.53224099,7.53224099,25.3768731,25.3768731,32.9091141,32.9091141,32.9091141,32.9091141,32.9091141,0,0.280104,14.2457705,0.0604764,90789.40285395061,154924.01031609866,52779.8030235
24,China,0.051611225,1.96729978,0.019001198,135.399714,0.015515624,18.5108606,0.448800582,-2436.46975,0.052826243,1506.06991,0.065582679,3728.12763,32.2000254,8934.38147,32.2000254,32.2000254,-11.660399,2.06364874,-0.356097094,18.5977593,0.753271679,7.36994471,14.2793889,2.64156291,24.8300807,24.8300807,32.2000254,32.2000254,10.9607032,21.2393223,18.5977593,2.64156291,18.5977593,18.5977593,14.2793889,4.31837047,7.36994471,7.36994471,24.8300807,24.8300807,32.2000254,32.2000254,32.2000254,32.2000254,32.2000254,0,0.280104,13.9388085,0.0604764,89481.73810179625,151686.87477451062,51642.5548905
25,China,0.05049843,1.92488264,0.02204753,132.480348,0.016036721,10.0062361,0.470242033,-2383.93677,0.051687252,1473.59739,0.064168645,3647.74511,31.5057576,8741.74641,31.5057576,31.5057576,-11.4089881,2.01915421,-0.354405661,18.1967713,0.737030316,7.21104062,13.9788529,2.58460791,24.294717,24.294717,31.5057576,31.5057576,10.7243784,20.7813792,18.1967713,2.58460791,18.1967713,18.1967713,13.9788529,4.21791836,7.21104062,7.21104062,24.294717,24.294717,31.5057576,31.5057576,31.5057576,31.5057576,31.5057576,0,0.280104,13.6382725,0.0604764,88413.70986579254,148485.18223677014,50529.08464049999
26,China,0.049425672,1.88399159,0.01818529,129.666015,0.014854255,17.7260774,0.428367425,-2333.68367,0.050570055,1442.29318,0.062805485,3570.2546,30.8364683,8556.04201,30.8364682,30.8364682,-11.1661204,1.97623344,-0.336762041,17.809767,0.72136834,7.05785361,13.68805,2.52965746,23.7786146,23.7786146,30.8364683,30.8364683,10.4970439,20.3394245,17.809767,2.52965746,17.809767,17.809767,13.68805,4.12171695,7.05785361,7.05785361,23.7786146,23.7786146,30.8364682,30.8364682,30.8364682,30.8364683,30.8364683,0,0.280104,13.3474696,0.0604764,86940.05195150338,145460.80775705443,49454.803343
27,China,0.048399947,1.84489334,0.017802717,126.975072,0.014544681,17.359122,0.418743253,-2284.86412,0.04953972,1412.36144,0.06150209,3496.16153,30.1965226,8378.47948,30.1965226,30.1965226,-10.9348921,1.93524791,-0.327738017,17.440605,0.706402804,6.91138281,13.4121286,2.47720427,23.2851398,23.2851398,30.1965226,30.1965226,10.2787134,19.9178093,17.440605,2.47720427,17.440605,17.440605,13.4121286,4.02847633,6.91138281,6.91138281,23.2851398,23.2851398,30.1965226,30.1965226,30.1965226,30.1965226,30.1965226,0,0.280104,13.0715482,0.0604764,85735.80246185289,142532.36316881856,48429.3434785
28,China,0.047425077,1.80773358,0.017439319,124.417546,0.014250075,17.0094868,0.409678778,-2238.83749,0.048542139,1383.91372,0.060263318,3425.74201,29.5883057,8209.72054,29.5883057,29.5883057,-10.7146484,1.89626858,-0.319150005,17.0893228,0.692174535,6.77217406,13.148856,2.42730911,22.8161316,22.8161316,29.5883057,29.5883057,10.0716738,19.5166319,17.0893228,2.42730911,17.0893228,17.0893228,13.148856,3.94046684,6.77217406,6.77217406,22.8161316,22.8161316,29.5883057,29.5883057,29.5883057,29.5883057,29.5883057,0,0.280104,12.8082756,0.0604764,84582.9206008736,139750.79994238834,47453.89310049999
29,China,0.046505313,1.77267432,0.017096647,122.004586,0.013972186,16.679618,0.401152174,-2195.41144,0.047601003,1357.07403,0.059094568,3359.30301,29.0144687,8050.50085,29.0144687,29.0144687,-10.5068556,1.85949268,-0.31105733,16.7578985,0.678750546,6.64083421,12.9004681,2.38023445,22.3736345,22.3736345,29.0144687,29.0144687,9.87633584,19.1381329,16.7578985,2.38023445,16.7578985,16.7578985,12.9004681,3.85743032,6.64083421,6.64083421,22.3736345,22.3736345,29.0144687,29.0144687,29.0144687,29.0144687,29.0144687,0,0.280104,12.5598877,0.0604764,83488.17528304573,137125.36349506388,46533.583497499996
30,Saudi_Arabia,0.028029249,1.06840974,0.010250762,73.5334669,0.008402442,10.0524405,0.235012999,-1323.42966,0.028678228,817.923012,0.035616927,2024.6878,17.4873302,4852.12282,17.4873301,17.4873301,-6.33229564,1.12072,-0.151689285,10.099901,0.409087261,4.00250169,7.90991702,1.4345662,13.4848284,13.4848284,17.4873302,17.4873302,5.95286303,11.5344672,10.099901,1.4345662,10.099901,10.099901,7.90991702,2.18998394,4.00250169,4.00250169,13.4848284,13.4848284,17.4873301,17.4873301,17.4873301,17.4873302,17.4873302,0,0.280104,7.56933662,0.0604764,59674.33893272545,55964.74899060101,29265.150479999997
31,Saudi_Arabia,0.028949852,1.10350098,0.010590182,75.9486274,0.008679561,10.3829927,0.243049047,-1366.73228,0.029628245,844.787178,0.036786743,2091.18739,18.0616905,5011.48775,18.0616905,18.0616905,-6.54048791,1.15754077,-0.159416892,10.4318129,0.422525563,4.13396134,8.15898299,1.48170246,13.9277292,13.9277292,18.0616905,18.0616905,6.14817512,11.9135154,10.4318129,1.48170246,10.4318129,10.4318129,8.15898299,2.27282992,4.13396134,4.13396134,13.9277292,13.9277292,18.0616905,18.0616905,18.0616905,18.0616905,18.0616905,0,0.280104,7.81840259,0.0604764,60964.11229937727,57697.72153851482,30226.730183999996
32,Saudi_Arabia,0.029312664,1.11733055,0.010723997,76.9004495,0.008790011,10.5156432,0.246084562,-1382.78297,0.03005268,855.374429,0.037247771,2117.39509,18.2880477,5074.29395,18.2880477,18.2880477,-6.62384373,1.17212241,-0.162526268,10.5637737,0.427834523,4.18576999,8.25995056,1.50039507,14.1022777,14.1022777,18.2880477,18.2880477,6.22387895,12.0641688,10.5637737,1.50039507,10.5637737,10.5637737,8.25995056,2.30382315,4.18576999,4.18576999,14.1022777,14.1022777,18.2880477,18.2880477,18.2880477,18.2880477,18.2880477,0,0.280104,7.91937016,0.0604764,61470.96443568952,58375.38748161711,30608.059427999997
33,Saudi_Arabia,0.029302593,1.11694665,0.010720282,76.8740274,0.008786981,10.5120297,0.245996241,-1382.30782,0.030042354,855.080532,0.037234973,2116.66758,18.2817641,5072.55048,18.2817641,18.2817641,-6.62156791,1.17171969,-0.162441473,10.5601443,0.427687525,4.18433181,8.25723,1.49987957,14.0974323,14.0974323,18.2817641,18.2817641,6.22174028,12.0600238,10.5601443,1.49987957,10.5601443,10.5601443,8.25723,2.30291426,4.18433181,4.18433181,14.0974323,14.0974323,18.2817641,18.2817641,18.2817641,18.2817641,18.2817641,0,0.280104,7.9166496,0.0604764,61456.9885057327,58356.44241919169,30597.543228000002
