,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,HDPDCOM_HD,LPDECOM_HD,PPDECOM_HD,PSDECOM_HD,HEATER_HX_AREAC,HEATER_HD,RPLUG_HD,RPYRO_HD,COOLER_HX_AREAC,COOLER_HX_DUTY,HPDCOUT,LIQ,LPDCOUT,PPDCOUT,PSDCOUT,RPLUGIN,RPLUGIN2,RPYROIN,RPYROOUT,S1,VAP,H2O_VAP,H2_VAP,CO_VAP,CO2_VAP,CH4_VAP,C2H6_VAP,C2H4_VAP,C4H10_VAP,C6H6_VAP,C7H8_VAP,C8H10_VAP,C9H18_VAP,C10H8_VAP,C10H14_VAP,C14H30_VAP,C16H34_VAP,C22H46_VAP,C_VAP,O2_VAP,C6H6O_VAP,N2_VAP,CL2_VAP,S_VAP,NRP_VAP,ASH_VAP,HDPE_VAP,PP_VAP,PS_VAP,LDPE_VAP,H2O_LIQ,H2_LIQ,CO_LIQ,CO2_LIQ,CH4_LIQ,C2H6_LIQ,C2H4_LIQ,C4H10_LIQ,C6H6_LIQ,C7H8_LIQ,C8H10_LIQ,C9H18_LIQ,C10H8_LIQ,C10H14_LIQ,C14H30_LIQ,C16H34_LIQ,C22H46_LIQ,C_LIQ,O2_LIQ,C6H6O_LIQ,N2_LIQ,CL2_LIQ,S_LIQ,NRP_LIQ,ASH_LIQ,HDPE_LIQ,PP_LIQ,PS_LIQ,LDPE_LIQ,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG
0,Brazil,10,20,8,8,500,2396.45547,4751.80836,1980.26732,746.788816,0.001077755,198.691094,-3248.45014,348.331436,0.28533334,-4410.25217,10,32.2367578,20,8,8,46,46,46.0000012,46.0000012,46.0000012,13.7632434,0,0.0,0.0,0.0,4.32880012,0.854749121,3.67646424,1.33210698,2.64557303,0.800359351,0.050917352,0.069267656,0.000817997,0.001865003,0.000316235,7.55e-06,7.37e-07,0,0.0,0.0,0.001998028,0,0,,,,,,,0,0.0,0.0,0.0,0.01066185,0.012483523,0.036028058,0.241060205,5.83321917,6.07076967,1.3351055,3.26349148,0.319423964,0.360548098,2.72457966,0.435513952,11.0220677,0,0.0,0,1.57e-06,0,0,,,,,,,75975.13531421898,320790.9109283185,215085.1517394901,242212.11879148512
1,Brazil,10,20,8,8,550,2396.45547,4751.80836,1980.26732,746.788816,0.004310229,770.455219,-3001.78882,-114.276651,0.287111653,-4403.84167,10,30.9733686,20,8,8,46,46,46.0283549,46.0283549,46.0283549,15.0549863,0,0.083768011,0.0,0.0,4.53871961,0.897286743,3.85761721,1.41689032,3.16384233,0.964563131,0.061574632,0.065195804,0.000938286,0.002271185,0.000312296,7.67e-06,8.19e-07,0,0.0,0.0,0.001998255,0,0,,,,,,,0,3.28e-05,0.0,0.0,0.009784429,0.011722532,0.033714548,0.232060013,6.68567848,7.01739074,1.54852037,2.78801334,0.371075768,0.418731629,2.27777852,0.364100746,9.21476325,0,0.0,0,1.34e-06,0,0,,,,,,,75993.22094393604,322239.9876570232,213240.64173784413,241683.0955138604
2,Brazil,10,20,8,8,600,2396.45547,4751.80836,1980.26732,746.788816,0.007868138,1361.5241,-2757.92976,-591.07063,0.288547593,-4401.44972,10,29.7850427,20,8,8,46,46,46.0012808,46.0012808,46.0012808,16.2162381,0,0.25023392,0.0,0.0,4.59406644,0.909717806,3.90855573,1.46409043,3.76810667,1.17487985,0.075777536,0.064548499,0.001103998,0.002824882,0.000324634,8.2e-06,9.57e-07,0,0.0,0.0,0.001998509,0,0,,,,,,,0,7.95e-05,0.0,0.0,0.008205349,0.010036847,0.028775374,0.204352109,7.14764649,7.67113814,1.7086138,2.34869761,0.411181397,0.463752415,1.87927352,0.300408929,7.60288014,0,0.0,0,1.09e-06,0,0,,,,,,,75998.90254080313,336280.3360445991,207415.84755996824,236205.13916453323
3,Brazil,10,20,8,8,650,2396.45547,4751.80836,1980.26732,746.788816,0.011793273,1972.12963,-2567.10193,-1082.2707,0.290634855,-4406.49121,10,28.9476864,20,8,8,46,46,46.0013256,46.0013256,46.0013256,17.0536392,0,0.395799233,0.0,0.0,4.59204323,0.910232717,3.90922607,1.48257652,4.25919924,1.34825562,0.087670732,0.061772449,0.001223926,0.003304479,0.000326769,8.5e-06,1.09e-06,0,0.0,0.0,0.001998667,0,0,,,,,,,0,0.000107554,0.0,0.0,0.007151117,0.008906913,0.025472215,0.184750358,7.57163907,8.2393383,1.846309,1.9936778,0.445624018,0.502386744,1.56028818,0.24942538,6.31260878,0,0.0,0,9.33e-07,0,0,,,,,,,76008.55567091238,351934.5090095168,203600.16261662752,232376.77552282627
4,Brazil,10,20,8,8,700,2396.45547,4751.80836,1980.26732,746.788816,0.016135582,2602.46484,-2425.72503,-1586.74658,0.293065369,-4415.2698,10,28.3473849,20,8,8,46,46,46.0006276,46.0006276,46.0006276,17.6532426,0,0.524818294,0.0,0.0,4.55010263,0.902537726,3.8751343,1.48238473,4.6624643,1.4924996,0.097731022,0.058200622,0.001312475,0.003725005,0.00032327,8.66e-06,1.21e-06,0,0.0,0.0,0.001998775,0,0,,,,,,,0,0.000126122,0.0,0.0,0.006375716,0.008065198,0.023019639,0.169456497,7.94398807,8.72364424,1.96303785,1.70613939,0.474830226,0.535118664,1.30499888,0.208621647,5.27996199,0,0.0,0,8.25e-07,0,0,,,,,,,76017.89517182412,369061.4829080357,201066.59908859356,229580.3859823173
5,Brazil,10,20,8,8,750,2396.45547,4751.80836,1980.26732,746.788816,0.020955553,3252.68236,-2329.54404,-2103.43868,0.295705342,-4426.17003,10,27.9227582,20,8,8,46,46,46.000155,46.000155,46.000155,18.0773968,0,0.638400564,0.0,0.0,4.48333788,0.889730967,3.81940904,1.47032264,4.99494587,1.61279232,0.106261086,0.054398232,0.001378856,0.00409452,0.000315958,8.7e-06,1.32e-06,0,0.0,0.0,0.001998852,0,0,,,,,,,0,0.000139106,0.0,0.0,0.00578185,0.007410475,0.021118313,0.15709935,8.26870766,9.13594082,2.06194005,1.47291548,0.499586177,0.562840215,1.10051887,0.175938295,4.45282082,0,0.0,0,7.48e-07,0,0,,,,,,,76027.27754238459,387545.5023173289,199455.5467181231,227550.9439603781
6,Brazil,10,20,8,8,800,2396.45547,4751.80836,1980.26732,746.788816,0.026327558,3922.89608,-2274.10687,-2631.35663,0.298441098,-4438.09576,10,27.6265767,20,8,8,46,46,46.0004948,46.0004948,46.0004948,18.3739181,0,0.738151342,0.0,0.0,4.40224015,0.873955087,3.75114728,1.45096931,5.27127562,1.71382472,0.113540109,0.05064923,0.001429927,0.004420445,0.000305926,8.64e-06,1.42e-06,0,0.0,0.0,0.001998909,0,0,,,,,,,0,0.000148634,0.0,0.0,0.005313589,0.006885558,0.019598825,0.146882895,8.55097261,9.48758802,2.14597416,1.28291633,0.520633095,0.586390572,0.936061593,0.149651463,3.78755864,0,0.0,0,6.91e-07,0,0,,,,,,,76036.9106988377,407276.8160317261,198497.31607723245,226084.50425722622
7,Brazil,10,20,8,8,850,2396.45547,4751.80836,1980.26732,746.788816,0.032344658,4613.18452,-2255.35624,-3169.57377,0.301195847,-4450.32317,10,27.4234302,20,8,8,46,46,46.0015084,46.0015084,46.0015084,18.5780782,0,0.825844082,0.0,0.0,4.31382362,0.856640381,3.67642504,1.42736843,5.50317129,1.7994345,0.119798304,0.047090264,0.001470409,0.004708933,0.000293967,8.49e-06,1.5e-06,0,0.0,0.0,0.001998953,0,0,,,,,,,0,0.000155944,0.0,0.0,0.004935771,0.006454895,0.018355801,0.138293533,8.79613668,9.78858271,2.21770062,1.12716316,0.538611045,0.606493278,0.802977156,0.128378745,3.24919025,0,0.0,0,6.47e-07,0,0,,,,,,,76046.86418104876,428159.2440636763,197994.04697184666,225027.16191452916
8,Brazil,10,20,8,8,900,2396.45547,4751.80836,1980.26732,746.788816,0.039125678,5323.59509,-2269.57943,-3717.40935,0.303943638,-4462.65177,10,27.2936179,20,8,8,46,46,46.007612,46.007612,46.007612,18.7139941,0,0.902543605,0.0,0.0,4.2231772,0.838819314,3.59963688,1.40163274,5.69849707,1.87199812,0.125168955,0.043764974,0.001502786,0.004962985,0.000280632,8.27e-06,1.56e-06,0,0.0,0.0,0.001998986,0,0,,,,,,,0,0.000161752,0.0,0.0,0.004628063,0.006098964,0.017330977,0.131055998,9.01230604,10.0494907,2.27959682,0.998697004,0.554120742,0.623827962,0.694579131,0.111051522,2.81067164,0,0.0,0,6.14e-07,0,0,,,,,,,76057.98755770114,450115.22854641394,197849.07365744462,224314.14147839462
9,Brazil,10,20,8,8,950,2396.45547,4751.80836,1980.26732,746.788816,0.046825988,6054.14872,-2314.9207,-4273.36319,0.306559739,-4473.86445,10,27.1954018,20,8,8,46,46,46.0005162,46.0005162,46.0005162,18.8051145,0,0.97209714,0.0,0.0,4.13135138,0.820726983,3.52174716,1.37467728,5.86864493,1.93614364,0.129973744,0.040751145,0.00153149,0.005194131,0.000266824,8e-06,1.59e-06,0,0.0,0.0,0.001999013,0,0,,,,,,,0,0.000166627,0.0,0.0,0.004363538,0.005787227,0.016435661,0.124626321,9.19306559,10.269717,2.33215465,0.891449571,0.567345727,0.63859582,0.605324452,0.096783959,2.44958501,0,0.0,0,5.87e-07,0,0,,,,,,,76067.28029289788,473066.5174186565,197796.587755252,223686.2175969445
