Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV
Brazil,10,20,8,8,500,75975.13531,320790.9109,215085.1517,242212.1188,62850.35948,181575.2864,29013.3722,2672.702932,7039.418655,1670.028935,30094.72199,5877.392349,111.7101068
Brazil,10,20,8,8,550,75993.22094,322239.9877,213240.6417,241683.0955,64852.21697,190217.1639,30420.40639,2766.536441,7375.118241,1751.032919,67829.35882,15169.29992,439.633787
Brazil,10,20,8,8,600,75998.90254,336280.336,207415.8476,236205.1392,65377.90373,192471.8294,30794.33309,2790.423323,7459.255153,1773.169769,95433.7385,22998.46379,778.2233183
Brazil,10,20,8,8,650,76008.55567,351934.509,203600.1626,232376.7755,65358.83216,192388.5781,30780.77166,2789.525973,7456.021623,1772.388967,119179.8936,30361.08348,1122.046453
Brazil,10,20,8,8,700,76017.89517,369061.4829,201066.5991,229580.386,64962.85471,190662.7176,30499.64053,2770.905498,7388.991027,1756.201026,140745.4881,37508.86579,1473.378117
Brazil,10,20,8,8,750,76027.27754,387545.5023,199455.5467,227550.944,64326.48913,187942.2126,30048.61804,2742.012403,7287.4197,1729.509109,160893.54,44538.3532,1844.579717
Brazil,10,20,8,8,800,76036.9107,407276.816,198497.3161,226084.5043,63554.79174,184595.0083,29506.15666,2705.514832,7156.09118,1698.50951,180020.3578,51537.07022,2220.99744
Brazil,10,20,8,8,850,76046.86418,428159.2441,197994.047,225027.1619,62706.88536,180954.4075,28913.52056,2665.843185,7014.679413,1664.390186,198401.2197,58537.03639,2611.609352
Brazil,10,20,8,8,900,76057.98756,450115.2285,197849.0737,224314.1415,61831.67716,177220.9715,28305.94989,2624.9802,6869.654002,1629.413684,216196.1611,65563.70132,3014.105338
Brazil,10,20,8,8,950,76067.28029,473066.5174,197796.5878,223686.2176,60938.78468,173437.9605,27690.47679,2583.384883,6722.706961,1593.982533,233529.9335,72640.06152,3427.868236
Brazil,10,20,8,8,1000,76078.27953,496972.2006,197954.7607,223286.3243,60066.62187,169768.1009,27093.5943,2542.844161,6580.149716,1559.62386,250488.5041,79777.38256,3853.282377
Brazil,10,20,8,8,1050,76090.16359,521786.8789,198220.6768,223014.4984,59220.24131,166230.9521,26518.4513,2503.588559,6442.752408,1526.516882,267140.4029,86991.10013,4289.44578
Brazil,10,20,8,8,1100,76103.27324,547465.1858,198567.7762,222848.2791,58406.66436,162853.5603,25969.4322,2465.935019,6311.56435,1494.914132,283545.1328,94302.39699,4734.125363
Brazil,10,20,8,8,1150,76117.43407,573984.4161,198939.4095,222730.7725,57626.13685,159634.4308,25446.2739,2429.886004,6186.528983,1464.800003,299710.3537,101659.9163,5196.84441
Brazil,10,20,8,8,1200,76133.59821,601317.529,199337.3166,222665.4109,56882.01676,156584.7983,24950.78692,2395.586779,6068.081036,1436.278916,315706.4948,109136.9367,5666.134383
China,13,40,14,15,500,115212.9977,276002.8567,445110.407,493235.6731,91968.24065,157865.6256,53811.52123,4083.46484,6168.572432,2962.756097,42505.09859,7615.334272,199.9038245
China,13,40,14,15,550,115233.3131,277446.8828,454518.7632,505224.1606,95225.78701,166069.1764,56696.39998,4247.307689,6490.782481,3121.570301,95806.31634,18783.50039,780.9064197
China,13,40,14,15,600,115246.9174,289224.3352,449616.7692,500971.4043,96041.21364,168113.3718,57427.72872,4287.278924,6568.164793,3162.898783,134806.8241,27817.82972,1375.861289
China,13,40,14,15,650,115261.0272,302332.2185,447302.685,498637.1653,96016.07803,168049.3478,57405.19148,4286.008327,6565.651051,3161.657668,168350.3409,36104.06517,1991.24278
China,13,40,14,15,700,115274.6204,316676.7129,446667.0396,497534.3526,95432.55602,166565.2094,56882.77697,4256.532397,6507.384124,3132.884875,198821.2781,44011.80987,2625.860116
China,13,40,14,15,750,115287.9561,332159.9811,447112.8784,497233.6194,94491.67995,164214.1076,56041.78817,4210.486078,6418.398517,3085.355772,227280.1536,51704.4358,3282.650296
China,13,40,14,15,800,115301.1363,348689.5777,448214.0151,497425.2117,93346.80328,161315.62,55026.8028,4152.406187,6303.478082,3029.873035,254314.4883,59276.94014,3959.205918
China,13,40,14,15,850,115315.3671,366187.669,449775.7819,497998.0708,92092.51635,158170.8515,53920.9899,4089.465854,6180.025864,2968.97724,280286.8469,66786.42387,4655.49301
China,13,40,14,15,900,115329.9249,384584.36,451544.2992,498746.0289,90789.40285,154924.0103,52779.80302,4024.258332,6052.570716,2906.137182,305443.6054,74268.79856,5372.704353
China,13,40,14,15,950,115345.4172,403824.9895,453438.6461,499623.3259,89481.7381,151686.8748,51642.55489,3959.011668,5925.503302,2843.516934,329931.1617,81748.06825,6110.386245
China,13,40,14,15,1000,115361.3847,423862.6419,455329.6575,500518.545,88413.70987,148485.1822,50529.08464,3989.582211,5815.79029,2782.20759,353901.6512,89248.28963,6868.37604
China,13,40,14,15,1050,115378.627,444661.1317,457213.5022,501442.4241,86940.05195,145460.8078,49454.80334,3832.946324,5681.61682,2722.883798,377434.1412,96784.33279,7645.519608
China,13,40,14,15,1100,115397.4114,466189.6189,459051.6708,502362.7151,85735.80246,142532.3632,48429.34348,3773.163331,5566.220586,2666.595772,400606.2547,104392.4696,8429.423353
China,13,40,14,15,1150,115418.3912,488422.9352,460832.0655,503270.7407,84582.9206,139750.7999,47453.8931,3716.282401,5457.074937,2612.888222,423471.1599,112027.064,9246.71973
China,13,40,14,15,1200,115443.2731,511341.2139,462607.983,504223.6006,83488.17528,137125.3635,46533.5835,3662.408371,5354.064805,2562.217111,446073.7804,119720.191,10084.68173
Saudi Arabia,6,20,10,6,500,71042.7215,95349.10472,142135.7631,167217.9403,59674.33893,55964.74899,29265.15048,2524.779064,2193.117482,1544.144666,28620.25075,4778.781505,96.1721875
Saudi Arabia,6,20,10,6,550,71054.35221,95516.74927,138591.2233,164497.2088,60964.1123,57697.72154,30226.73018,2584.60262,2261.404234,1594.954128,64480.51771,11282.97208,403.9398687
Saudi Arabia,6,20,10,6,600,71062.31741,99327.94863,136190.7453,162421.3962,61470.96444,58375.38748,30608.05943,2607.535949,2287.299925,1615.551513,90716.92784,16321.16475,714.636922
Saudi Arabia,6,20,10,6,650,71072.26799,103567.2821,134817.6934,161039.3318,61456.98851,58356.44242,30597.54323,2606.884838,2286.552109,1614.996512,113281.4774,20822.8611,1031.040693
Saudi Arabia,6,20,10,6,700,71080.61878,108198.5859,134039.0039,160018.6278,61081.09223,57847.62204,30315.14052,2589.38185,2266.469073,1600.090669,133771.3973,25035.94216,1353.411008
Saudi Arabia,6,20,10,6,750,71089.42118,113194.3263,133724.2499,159322.0325,60482.4531,57051.13934,29866.2273,2562.441444,2236.183594,1575.762035,152902.2174,29060.1915,1697.868289
Saudi Arabia,6,20,10,6,800,71098.52972,118524.4433,133711.0701,158845.5857,59757.2052,56073.85289,29326.77358,2528.473073,2197.23365,1547.501429,171074.0024,32972.69533,2045.228031
Saudi Arabia,6,20,10,6,850,71107.52645,124162.5195,133873.7555,158501.6907,58957.94243,55006.81274,28735.67705,2491.437484,2155.12527,1516.306527,188530.3072,36811.13777,2400.265913
Saudi Arabia,6,20,10,6,900,71117.38183,130088.2159,134179.2078,158287.0656,58131.76055,53910.44077,28128.84416,2453.231927,2111.861652,1484.283492,205426.5099,40589.57784,2767.8873
Saudi Arabia,6,20,10,6,950,71127.12655,136282.4264,134535.9517,158123.0355,57298.58925,52811.6726,27521.20385,2414.785188,2068.508362,1452.218904,221884.9395,44332.25737,3147.462136
Saudi Arabia,6,20,10,6,1000,71137.43181,142731.3577,134935.9111,158014.1666,56478.67479,51737.18451,26927.50795,2377.03062,2026.11773,1420.891247,237983.9837,48051.16142,3537.570384
Saudi Arabia,6,20,10,6,1050,71148.76808,149423.4358,135371.082,157959.7764,55684.17976,50702.49902,26356.29612,2340.523529,1985.302508,1390.750704,253788.9902,51756.28528,3938.292849
Saudi Arabia,6,20,10,6,1100,71160.83411,156348.3499,135805.0172,157924.9082,54918.04441,49710.85317,25809.305,2305.392179,1946.190688,1361.888367,269352.2524,55458.05346,4348.159233
Saudi Arabia,6,20,10,6,1150,71174.30884,163498.3928,136242.0441,157916.6404,54185.36344,48768.15872,25289.74516,2271.861623,1909.014532,1334.473758,284701.8716,59155.84052,4770.207395
Saudi Arabia,6,20,10,6,1200,71189.46768,170866.6336,136663.0171,157915.1956,53485.72681,47873.17911,24796.87748,2239.904837,1873.7251,1308.467569,299878.2253,62860.19344,5201.707813
Spain,7,26,13,8,500,85156.63868,791785.4468,256127.3344,288354.0031,70449.12442,442810.0047,36034.42041,3031.453832,17125.71482,1983.984028,32419.37975,8037.82543,122.921934
Spain,7,26,13,8,550,85170.80625,793423.9018,243115.4194,276426.3327,72012.90849,457575.1537,37247.23106,3106.001354,17696.29842,2050.84921,74915.67867,23179.77111,518.1319968
Spain,7,26,13,8,600,85182.46722,828678.3353,233099.6459,266839.1945,72629.07082,463366.8466,37729.49143,3134.734788,17913.61464,2077.990165,105399.295,36789.4954,906.450472
Spain,7,26,13,8,650,85193.73268,867847.4606,225741.856,259468.4094,72610.50903,463189.8383,37714.95992,3133.845715,17906.76423,2077.189934,131614.2029,49969.76199,1323.897984
Spain,7,26,13,8,700,85203.22116,910651.354,220324.1999,253738.6446,72163.99671,458938.5315,37365.94139,3112.472272,17742.2411,2057.967239,155424.1334,63137.52007,1738.465505
Spain,7,26,13,8,750,85213.49407,956832.6658,216448.1842,249371.6219,71455.13909,452313.7058,36812.87795,3079.619636,17495.13507,2026.718247,177655.4283,76284.9992,2178.198874
Spain,7,26,13,8,800,85224.19731,1006110.342,213687.246,246015.1434,70596.4339,444178.3758,36148.29525,3038.297066,17177.09975,1990.389189,198776.3679,89604.01104,2623.565638
