Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV
Brazil,10,20,8,8,500,75975.13531,320790.9109,215309.9035,242436.8706,62850.35948,181575.2864,61719.35541,2672.702932,7039.418655,1670.028935,30094.72199,5877.392349,111.7101068
Brazil,10,20,8,8,550,75993.22094,322239.9877,213446.8975,241889.3513,64852.21697,190217.1639,64712.50087,2766.536441,7375.118241,1751.032919,67829.35882,15169.29992,439.633787
Brazil,10,20,8,8,600,75998.90254,336280.336,207588.8163,236378.1079,65377.90373,192471.8294,65507.94493,2790.423323,7459.255153,1773.169769,95433.7385,22998.46379,778.2233183
Brazil,10,20,8,8,650,76008.55567,351934.509,203750.9082,232527.5211,65358.83216,192388.5781,65479.09607,2789.525973,7456.021623,1772.388967,119179.8936,30361.08348,1122.046453
Brazil,10,20,8,8,700,76017.89517,369061.4829,201200.9992,229714.7861,64962.85471,190662.7176,64881.0535,2770.905498,7388.991027,1756.201026,140745.4881,37508.86579,1473.378117
Brazil,10,20,8,8,750,76027.27754,387545.5023,199577.4281,227672.8254,64326.48913,187942.2126,63921.60565,2742.012403,7287.4197,1729.509109,160893.54,44538.3532,1844.579717
Brazil,10,20,8,8,800,76036.9107,407276.816,198609.3265,226196.5147,63554.79174,184595.0083,62767.64235,2705.514832,7156.09118,1698.50951,180020.3578,51537.07022,2220.99744
Brazil,10,20,8,8,850,76046.86418,428159.2441,198098.093,225131.208,62706.88536,180954.4075,61506.94373,2665.843185,7014.679413,1664.390186,198401.2197,58537.03639,2611.609352
Brazil,10,20,8,8,900,76057.98756,450115.2285,197946.6332,224411.701,61831.67716,177220.9715,60214.47522,2624.9802,6869.654002,1629.413684,216196.1611,65563.70132,3014.105338
Brazil,10,20,8,8,950,76067.28029,473066.5174,197888.5711,223778.201,60938.78468,173437.9605,58905.19608,2583.384883,6722.706961,1593.982533,233529.9335,72640.06152,3427.868236
Brazil,10,20,8,8,1000,76078.27953,496972.2006,198042.0978,223373.6613,60066.62187,169768.1009,57635.46423,2542.844161,6580.149716,1559.62386,250488.5041,79777.38256,3853.282377
Brazil,10,20,8,8,1050,76090.16359,521786.8789,198304.0424,223097.864,59220.24131,166230.9521,56411.97822,2503.588559,6442.752408,1526.516882,267140.4029,86991.10013,4289.44578
Brazil,10,20,8,8,1100,76103.27324,547465.1858,198647.7217,222928.2246,58406.66436,162853.5603,55244.06487,2465.935019,6311.56435,1494.914132,283545.1328,94302.39699,4734.125363
Brazil,10,20,8,8,1150,76117.43407,573984.4161,199016.3491,222807.7121,57626.13685,159634.4308,54131.16447,2429.886004,6186.528983,1464.800003,299710.3537,101659.9163,5196.84441
Brazil,10,20,8,8,1200,76133.59821,601317.529,199411.6093,222739.7037,56882.01676,156584.7983,53077.12853,2395.586779,6068.081036,1436.278916,315706.4948,109136.9367,5666.134383
China,13,40,14,15,500,115212.9977,276002.8567,445493.0468,493618.3129,91968.24065,157865.6256,109494.7476,4083.46484,6168.572432,2962.756097,42505.09859,7615.334272,199.9038245
China,13,40,14,15,550,115233.3131,277446.8828,454884.1637,505589.5612,95225.78701,166069.1764,115364.8486,4247.307689,6490.782481,3121.570301,95806.31634,18783.50039,780.9064197
China,13,40,14,15,600,115246.9174,289224.3352,449923.0383,501277.6733,96041.21364,168113.3718,116852.9437,4287.278924,6568.164793,3162.898783,134806.8241,27817.82972,1375.861289
China,13,40,14,15,650,115261.0272,302332.2185,447568.7981,498903.2784,96016.07803,168049.3478,116807.0853,4286.008327,6565.651051,3161.657668,168350.3409,36104.06517,1991.24278
China,13,40,14,15,700,115274.6204,316676.7129,446903.8105,497771.1236,95432.55602,166565.2094,115744.0853,4256.532397,6507.384124,3132.884875,198821.2781,44011.80987,2625.860116
China,13,40,14,15,750,115287.9561,332159.9811,447327.2468,497447.9878,94491.67995,164214.1076,114032.8559,4210.486078,6418.398517,3085.355772,227280.1536,51704.4358,3282.650296
China,13,40,14,15,800,115301.1363,348689.5777,448410.7247,497621.9213,93346.80328,161315.62,111967.5814,4152.406187,6303.478082,3029.873035,254314.4883,59276.94014,3959.205918
China,13,40,14,15,850,115315.3671,366187.669,449958.3341,498180.623,92092.51635,158170.8515,109717.4925,4089.465854,6180.025864,2968.97724,280286.8469,66786.42387,4655.49301
China,13,40,14,15,900,115329.9249,384584.36,451715.2144,498916.944,90789.40285,154924.0103,107395.4253,4024.258332,6052.570716,2906.137182,305443.6054,74268.79856,5372.704353
China,13,40,14,15,950,115345.4172,403824.9895,453599.8776,499784.5573,89481.7381,151686.8748,105081.3726,3959.011668,5925.503302,2843.516934,329931.1617,81748.06825,6110.386245
