,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
0,Brazil,10,20,8,8,500,75975.13531,320790.9109,215085.1517,242212.1188,62850.35948,181575.2864,29013.3722,2672.702932,7039.418655,1670.028935,30094.72199,5877.392349,111.7101068,171592.919712,515283.00830399996,245880.2629418,168920.21678,508243.589649,244210.2340068,141498.197722,509405.615955,245768.552835,138825.49479,502366.1973,244098.5239,106069.8573,326668.303249,242323.8289068,75975.13531,320790.9109,242212.1188
1,Brazil,10,20,8,8,550,75993.22094,322239.9877,213240.6417,241683.0955,64852.21697,190217.1639,30420.40639,2766.536441,7375.118241,1751.032919,67829.35882,15169.29992,439.633787,211441.333171,535001.569761,245851.714796,208674.79673,527626.45152,244100.681877,143611.974351,519832.269841,245412.081009,140845.43791,512457.1516,243661.04809,143822.57976,337409.28762,242122.729287,75993.22094,322239.9877,241683.0955
2,Brazil,10,20,8,8,600,75998.90254,336280.336,207415.8476,236205.1392,65377.90373,192471.8294,30794.33309,2790.423323,7459.255153,1773.169769,95433.7385,22998.46379,778.2233183,239600.968093,559209.884343,240761.57377730001,236810.54477,551750.62919,238988.4040083,144167.229593,536211.4205530001,239983.350459,141376.80627,528752.1654,238210.18069,171432.64104000002,359278.79979,236983.3625183,75998.90254,336280.336,236205.1392
3,Brazil,10,20,8,8,650,76008.55567,351934.509,203600.1626,232376.7755,65358.83216,192388.5781,30780.77166,2789.525973,7456.021623,1772.388967,119179.8936,30361.08348,1122.046453,263336.807403,582140.1922030001,237275.36968,260547.28142999997,574684.17058,235502.980713,144156.913803,551779.108723,236153.32322700002,141367.38783,544323.0871,234380.93426,195188.44926999998,382295.59248,233498.82195299998,76008.55567,351934.509,232376.7755
4,Brazil,10,20,8,8,700,76017.89517,369061.4829,201066.5991,229580.386,64962.85471,190662.7176,30499.64053,2770.905498,7388.991027,1756.201026,140745.4881,37508.86579,1473.378117,284497.143478,604622.057317,234795.81877299998,281726.23798,597233.06629,233039.61774699998,143751.65537800002,567113.191527,233322.440656,140980.74988000002,559724.2005,231566.23963,216763.38327,406570.34869,231053.76411699998,76017.89517,369061.4829,229580.386
5,Brazil,10,20,8,8,750,76027.27754,387545.5023,199455.5467,227550.944,64326.48913,187942.2126,30048.61804,2742.012403,7287.4197,1729.509109,160893.54,44538.3532,1844.579717,303989.319073,627313.4878,233078.253566,301247.30666999996,620026.0681,231348.744457,143095.77907299998,582775.1346,231233.673849,140353.76666999998,575487.7149,229504.16474,236920.81754000002,432083.8555,229395.52371699997,76027.27754,387545.5023,227550.944
6,Brazil,10,20,8,8,800,76036.9107,407276.816,198497.3161,226084.5043,63554.79174,184595.0083,29506.15666,2705.514832,7156.09118,1698.50951,180020.3578,51537.07022,2220.99744,322317.575072,650564.9857,231922.97971,319612.06024,643408.89452,230224.4702,142297.21727199998,599027.91548,229701.98227,139591.70244,591871.8243,228003.47276,256057.2685,458813.88622,228305.50174,76036.9107,407276.816,226084.5043
7,Brazil,10,20,8,8,850,76046.86418,428159.2441,197994.047,225027.1619,62706.88536,180954.4075,28913.52056,2665.843185,7014.679413,1664.390186,198401.2197,58537.03639,2611.609352,339820.812425,674665.367403,231183.567098,337154.96924,667650.68799,229519.176912,141419.592725,616128.331013,228571.957746,138753.74954,609113.6516,226907.56756,274448.08388,486696.28049000003,227638.771252,76046.86418,428159.2441,225027.1619
8,Brazil,10,20,8,8,900,76057.98756,450115.2285,197849.0737,224314.1415,61831.67716,177220.9715,28305.94989,2624.9802,6869.654002,1629.413684,216196.1611,65563.70132,3014.105338,356710.80602,699769.5553220001,230798.542612,354085.82582,692899.9013200001,229169.128928,140514.64492,634205.8540020001,227784.437274,137889.66472,627336.2000000001,226155.02359,292254.14866,515678.92982,227328.246838,76057.98756,450115.2285,224314.1415
9,Brazil,10,20,8,8,950,76067.28029,473066.5174,197796.5878,223686.2176,60938.78468,173437.9605,27690.47679,2583.384883,6722.706961,1593.982533,233529.9335,72640.06152,3427.868236,373119.38335300004,725867.246381,230508.91535900004,370535.99847,719144.53942,228914.93282600003,139589.449853,653227.184861,227081.04712300003,137006.06497,646504.4779,225487.06459000002,309597.21379,545706.57892,227114.085836,76067.28029,473066.5174,223686.2176
