,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
0,Brazil,10,20,8,8,500,75975.13531,320790.9109,215973.2838,243100.2509,62850.35948,181575.2864,158254.7575,2672.702932,7039.418655,1670.028935,30094.72199,5877.392349,111.7101068,171592.919712,515283.00830399996,376009.78034180007,168920.21678,508243.589649,374339.75140680006,141498.197722,509405.615955,375898.07023500005,138825.49479,502366.1973,374228.04130000004,106069.8573,326668.303249,243211.9610068,75975.13531,320790.9109,243100.2509
1,Brazil,10,20,8,8,550,75993.22094,322239.9877,214055.6847,242498.1384,64852.21697,190217.1639,165929.4894,2766.536441,7375.118241,1751.032919,67829.35882,15169.29992,439.633787,211441.333171,535001.569761,382175.84080600005,208674.79673,527626.45152,380424.80788700003,143611.974351,519832.269841,381736.207019,140845.43791,512457.1516,379985.1741,143822.57976,337409.28762,242937.772187,75993.22094,322239.9877,242498.1384
2,Brazil,10,20,8,8,600,75998.90254,336280.336,208099.3531,236888.6447,65377.90373,192471.8294,167969.0896,2790.423323,7459.255153,1773.169769,95433.7385,22998.46379,778.2233183,239600.968093,559209.884343,378619.8357873,236810.54477,551750.62919,376846.6660183,144167.229593,536211.4205530001,377841.61246900004,141376.80627,528752.1654,376068.4427,171432.64104000002,359278.79979,237666.8680183,75998.90254,336280.336,236888.6447
3,Brazil,10,20,8,8,650,76008.55567,351934.509,204195.8507,232972.4636,65358.83216,192388.5781,167895.1181,2789.525973,7456.021623,1772.388967,119179.8936,30361.08348,1122.046453,263336.807403,582140.1922030001,374985.40422,260547.28142999997,574684.17058,373213.015253,144156.913803,551779.108723,373863.35776700004,141367.38783,544323.0871,372090.96880000003,195188.44926999998,382295.59248,234094.51005299998,76008.55567,351934.509,232972.4636
4,Brazil,10,20,8,8,700,76017.89517,369061.4829,201597.6962,230111.4831,64962.85471,190662.7176,166361.6756,2770.905498,7388.991027,1756.201026,140745.4881,37508.86579,1473.378117,284497.143478,604622.057317,371188.950943,281726.23798,597233.06629,369432.74991699995,143751.65537800002,567113.191527,369715.572826,140980.74988000002,559724.2005,367959.37179999996,216763.38327,406570.34869,231584.861217,76017.89517,369061.4829,230111.4831
5,Brazil,10,20,8,8,750,76027.27754,387545.5023,199937.1748,228032.5721,64326.48913,187942.2126,163901.5529,2742.012403,7287.4197,1729.509109,160893.54,44538.3532,1844.579717,303989.319073,627313.4878,367412.81652600004,301247.30666999996,620026.0681,365683.30741700006,143095.77907299998,582775.1346,365568.236809,140353.76666999998,575487.7149,363838.72770000005,236920.81754000002,432083.8555,229877.15181699998,76027.27754,387545.5023,228032.5721
6,Brazil,10,20,8,8,800,76036.9107,407276.816,198939.938,226527.1262,63554.79174,184595.0083,160942.6727,2705.514832,7156.09118,1698.50951,180020.3578,51537.07022,2220.99744,322317.575072,650564.9857,363802.11765,319612.06024,643408.89452,362103.60813999997,142297.21727199998,599027.91548,361581.12020999996,139591.70244,591871.8243,359882.61069999996,256057.2685,458813.88622,228748.12364,76036.9107,407276.816,226527.1262
7,Brazil,10,20,8,8,850,76046.86418,428159.2441,198405.1967,225438.3116,62706.88536,180954.4075,157710.1121,2665.843185,7014.679413,1664.390186,198401.2197,58537.03639,2611.609352,339820.812425,674665.367403,360391.308338,337154.96924,667650.68799,358726.918152,141419.592725,616128.331013,357779.698986,138753.74954,609113.6516,356115.3088,274448.08388,486696.28049000003,228049.920952,76046.86418,428159.2441,225438.3116
8,Brazil,10,20,8,8,900,76057.98756,450115.2285,198234.5913,224699.6591,61831.67716,177220.9715,154396.0903,2624.9802,6869.654002,1629.413684,216196.1611,65563.70132,3014.105338,356710.80602,699769.5553220001,357274.20062200003,354085.82582,692899.9013200001,355644.786938,140514.64492,634205.8540020001,354260.09528400004,137889.66472,627336.2000000001,352630.6816,292254.14866,515678.92982,227713.76443799998,76057.98756,450115.2285,224699.6591
9,Brazil,10,20,8,8,950,76067.28029,473066.5174,198160.0705,224049.7003,60938.78468,173437.9605,151038.9643,2583.384883,6722.706961,1593.982533,233529.9335,72640.06152,3427.868236,373119.38335300004,725867.246381,354220.88556900003,370535.99847,719144.53942,352626.90303600003,139589.449853,653227.184861,350793.017333,137006.06497,646504.4779,349199.0348,309597.21379,545706.57892,227477.568536,76067.28029,473066.5174,224049.7003
10,Brazil,10,20,8,8,1000,76078.27953,496972.2006,198299.8828,223631.4463,60066.62187,169768.1009,147783.2416,2542.844161,6580.149716,1559.62386,250488.5041,79777.38256,3853.282377,389176.249661,753097.833776,351496.030637,386633.4055,746517.6840599999,349936.406777,138687.745561,673320.4512159999,347642.74825999996,136144.9014,666740.3015,346083.1244,326566.78362999996,576749.5831599999,227484.728677,76078.27953,496972.2006,223631.4463
11,Brazil,10,20,8,8,1050,76090.16359,521786.8789,198550.1054,223343.927,59220.24131,166230.9521,144646.098,2503.588559,6442.752408,1526.516882,267140.4029,86991.10013,4289.44578,404954.396359,781451.683538,349012.16606200003,402450.80779999995,775008.93113,347485.64918,137813.993459,694460.583408,344722.720282,135310.4049,688017.831,343196.2034,343230.56649,608777.97903,227633.37278,76090.16359,521786.8789,223343.927
12,Brazil,10,20,8,8,1100,76103.27324,547465.1858,198883.6898,223164.1927,58406.66436,162853.5603,141651.4484,2465.935019,6311.56435,1494.914132,283545.1328,94302.39699,4734.125363,420521.00541900005,810932.70744,346764.177695,418055.0704,804621.14309,345269.263563,136975.872619,716630.31045,342030.052332,134509.9376,710318.7461,340535.1382,359648.40604000003,641767.58279,227898.318063,76103.27324,547465.1858,223164.1927
13,Brazil,10,20,8,8,1150,76117.43407,573984.4161,199243.4448,223034.8078,57626.13685,159634.4308,138797.8576,2429.886004,6186.528983,1464.800003,299710.3537,101659.9163,5196.84441,435883.810624,841465.292183,344702.946813,433453.92461999995,835278.7632,343238.14681,136173.456924,739805.375883,339506.102403,133743.57092,733618.8469,338041.3024,375827.78777,675644.3324000001,228231.65221,76117.43407,573984.4161,223034.8078
14,Brazil,10,20,8,8,1200,76133.59821,601317.529,199630.8927,222958.9871,56882.01676,156584.7983,136095.2014,2395.586779,6068.081036,1436.278916,315706.4948,109136.9367,5666.134383,451117.696549,873107.345036,342828.507399,448722.10977,867039.264,341392.228483,135411.201749,763970.408336,337162.37301599997,133015.61497,757902.3273,335726.0941,391840.09300999995,710454.4657,228625.121483,76133.59821,601317.529,222958.9871
15,China,13,40,14,15,500,115212.9977,276002.8567,446669.9054,494795.1715,91968.24065,157865.6256,280755.763,4083.46484,6168.572432,2962.756097,42505.09859,7615.334272,199.9038245,253769.80178,447652.38900400006,730588.3283215,249686.33694,441483.81657200004,727625.5722245,211264.70319,440037.05473200005,730388.4244969999,207181.23835,433868.48230000003,727425.6684,157718.09629000002,283618.190972,494995.0753245,115212.9977,276002.8567,494795.1715
16,China,13,40,14,15,550,115233.3131,277446.8828,456008.0007,506713.3982,95225.78701,166069.1764,295807.3042,4247.307689,6490.782481,3121.570301,95806.31634,18783.50039,780.9064197,310512.724139,468790.342071,755717.7816207,306265.41645,462299.55959,752596.2113197,214706.407799,450006.841681,754936.875201,210459.10011,443516.0592,751815.3049,211039.62944,296230.38319,507494.3046197,115233.3131,277446.8828,506713.3982
17,China,13,40,14,15,600,115246.9174,289224.3352,450865.0085,502219.6435,96041.21364,168113.3718,299622.9325,4287.278924,6568.164793,3162.898783,134806.8241,27817.82972,1375.861289,350382.234064,491723.7015129999,755026.701072,346094.95514,485155.5367199999,751863.802289,215575.40996400002,463905.8717929999,753650.839783,211288.13104,457337.70699999994,750487.941,250053.7415,317042.16491999995,503595.504789,115246.9174,289224.3352,502219.6435
18,China,13,40,14,15,650,115261.0272,302332.2185,448387.2635,499721.7439,96016.07803,168049.3478,299505.3469,4286.008327,6565.651051,3161.657668,168350.3409,36104.06517,1991.24278,383913.454457,513051.282521,753045.510848,379627.44613,506485.63147,749883.85318,215563.11355699998,476947.217351,751054.268068,211277.10523,470381.5663,747892.6104,283611.3681,338436.28367000003,501712.98668,115261.0272,302332.2185,499721.7439
19,China,13,40,14,15,700,115274.6204,316676.7129,447632.0306,498499.3436,95432.55602,166565.2094,296779.7059,4256.532397,6507.384124,3132.884875,198821.2781,44011.80987,2625.860116,413784.98691700003,533761.116294,750170.481491,409528.45452,527253.73217,747037.596616,214963.708817,489749.30642399995,747544.621375,210707.17642,483241.9223,744411.7365,314095.8985,360688.52277,501125.203716,115274.6204,316676.7129,498499.3436
