,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
0,Brazil,10,20,8,8,500,75975.13531,320790.9109,215309.9035,242436.8706,62850.35948,181575.2864,61719.35541,2672.702932,7039.418655,1670.028935,30094.72199,5877.392349,111.7101068,171592.919712,515283.00830399996,278810.9979518,168920.21678,508243.589649,277140.9690168,141498.197722,509405.615955,278699.287845,138825.49479,502366.1973,277029.25891,106069.8573,326668.303249,242548.58070679998,75975.13531,320790.9109,242436.8706
1,Brazil,10,20,8,8,550,75993.22094,322239.9877,213446.8975,241889.3513,64852.21697,190217.1639,64712.50087,2766.536441,7375.118241,1751.032919,67829.35882,15169.29992,439.633787,211441.333171,535001.569761,280350.06507600006,208674.79673,527626.45152,278599.03215700004,143611.974351,519832.269841,279910.43128900003,140845.43791,512457.1516,278159.39837,143822.57976,337409.28762,242328.985087,75993.22094,322239.9877,241889.3513
2,Brazil,10,20,8,8,600,75998.90254,336280.336,207588.8163,236378.1079,65377.90373,192471.8294,65507.94493,2790.423323,7459.255153,1773.169769,95433.7385,22998.46379,778.2233183,239600.968093,559209.884343,275648.15431729995,236810.54477,551750.62919,273874.9845483,144167.229593,536211.4205530001,274869.930999,141376.80627,528752.1654,273096.76123,171432.64104000002,359278.79979,237156.3312183,75998.90254,336280.336,236378.1079
3,Brazil,10,20,8,8,650,76008.55567,351934.509,203750.9082,232527.5211,65358.83216,192388.5781,65479.09607,2789.525973,7456.021623,1772.388967,119179.8936,30361.08348,1122.046453,263336.807403,582140.1922030001,272124.43969,260547.28142999997,574684.17058,270352.050723,144156.913803,551779.108723,271002.39323700004,141367.38783,544323.0871,269230.00427000003,195188.44926999998,382295.59248,233649.567553,76008.55567,351934.509,232527.5211
4,Brazil,10,20,8,8,700,76017.89517,369061.4829,201200.9992,229714.7861,64962.85471,190662.7176,64881.0535,2770.905498,7388.991027,1756.201026,140745.4881,37508.86579,1473.378117,284497.143478,604622.057317,269311.631843,281726.23798,597233.06629,267555.430817,143751.65537800002,567113.191527,267838.253726,140980.74988000002,559724.2005,266082.0527,216763.38327,406570.34869,231188.16421699998,76017.89517,369061.4829,229714.7861
5,Brazil,10,20,8,8,750,76027.27754,387545.5023,199577.4281,227672.8254,64326.48913,187942.2126,63921.60565,2742.012403,7287.4197,1729.509109,160893.54,44538.3532,1844.579717,303989.319073,627313.4878,267073.122576,301247.30666999996,620026.0681,265343.613467,143095.77907299998,582775.1346,265228.542859,140353.76666999998,575487.7149,263499.03375,236920.81754000002,432083.8555,229517.405117,76027.27754,387545.5023,227672.8254
6,Brazil,10,20,8,8,800,76036.9107,407276.816,198609.3265,226196.5147,63554.79174,184595.0083,62767.64235,2705.514832,7156.09118,1698.50951,180020.3578,51537.07022,2220.99744,322317.575072,650564.9857,265296.4758,319612.06024,643408.89452,263597.96629,142297.21727199998,599027.91548,263075.47836,139591.70244,591871.8243,261376.96885,256057.2685,458813.88622,228417.51214,76036.9107,407276.816,226196.5147
7,Brazil,10,20,8,8,850,76046.86418,428159.2441,198098.093,225131.208,62706.88536,180954.4075,61506.94373,2665.843185,7014.679413,1664.390186,198401.2197,58537.03639,2611.609352,339820.812425,674665.367403,263881.036268,337154.96924,667650.68799,262216.646082,141419.592725,616128.331013,261269.426916,138753.74954,609113.6516,259605.03673,274448.08388,486696.28049000003,227742.817352,76046.86418,428159.2441,225131.208
8,Brazil,10,20,8,8,900,76057.98756,450115.2285,197946.6332,224411.701,61831.67716,177220.9715,60214.47522,2624.9802,6869.654002,1629.413684,216196.1611,65563.70132,3014.105338,356710.80602,699769.5553220001,262804.627442,354085.82582,692899.9013200001,261175.213758,140514.64492,634205.8540020001,259790.522104,137889.66472,627336.2000000001,258161.10842,292254.14866,515678.92982,227425.806338,76057.98756,450115.2285,224411.701
9,Brazil,10,20,8,8,950,76067.28029,473066.5174,197888.5711,223778.201,60938.78468,173437.9605,58905.19608,2583.384883,6722.706961,1593.982533,233529.9335,72640.06152,3427.868236,373119.38335300004,725867.246381,261815.617949,370535.99847,719144.53942,260221.635416,139589.449853,653227.184861,258387.749713,137006.06497,646504.4779,256793.76718,309597.21379,545706.57892,227206.069236,76067.28029,473066.5174,223778.201
10,Brazil,10,20,8,8,1000,76078.27953,496972.2006,198042.0978,223373.6613,60066.62187,169768.1009,57635.46423,2542.844161,6580.149716,1559.62386,250488.5041,79777.38256,3853.282377,389176.249661,753097.833776,261090.46826699996,386633.4055,746517.6840599999,259530.84440699997,138687.745561,673320.4512159999,257237.18588999996,136144.9014,666740.3015,255677.56202999997,326566.78362999996,576749.5831599999,227226.943677,76078.27953,496972.2006,223373.6613
11,Brazil,10,20,8,8,1050,76090.16359,521786.8789,198304.0424,223097.864,59220.24131,166230.9521,56411.97822,2503.588559,6442.752408,1526.516882,267140.4029,86991.10013,4289.44578,404954.396359,781451.683538,260531.983282,402450.80779999995,775008.93113,259005.4664,137813.993459,694460.583408,256242.537502,135310.4049,688017.831,254716.02062,343230.56649,608777.97903,227387.30978,76090.16359,521786.8789,223097.864
12,Brazil,10,20,8,8,1100,76103.27324,547465.1858,198647.7217,222928.2246,58406.66436,162853.5603,55244.06487,2465.935019,6311.56435,1494.914132,283545.1328,94302.39699,4734.125363,420521.00541900005,810932.70744,260120.826065,418055.0704,804621.14309,258625.911933,136975.872619,716630.31045,255386.700702,134509.9376,710318.7461,253891.78657,359648.40604000003,641767.58279,227662.349963,76103.27324,547465.1858,222928.2246
13,Brazil,10,20,8,8,1150,76117.43407,573984.4161,199016.3491,222807.7121,57626.13685,159634.4308,54131.16447,2429.886004,6186.528983,1464.800003,299710.3537,101659.9163,5196.84441,435883.810624,841465.292183,259809.157983,433453.92461999995,835278.7632,258344.35798,136173.456924,739805.375883,254612.31357300002,133743.57092,733618.8469,253147.51357,375827.78777,675644.3324000001,228004.55651,76117.43407,573984.4161,222807.7121
14,Brazil,10,20,8,8,1200,76133.59821,601317.529,199411.6093,222739.7037,56882.01676,156584.7983,53077.12853,2395.586779,6068.081036,1436.278916,315706.4948,109136.9367,5666.134383,451117.696549,873107.345036,259591.151129,448722.10977,867039.264,258154.872213,135411.201749,763970.408336,253925.016746,133015.61497,757902.3273,252488.73783,391840.09300999995,710454.4657,228405.838083,76133.59821,601317.529,222739.7037
15,China,13,40,14,15,500,115212.9977,276002.8567,445493.0468,493618.3129,91968.24065,157865.6256,109494.7476,4083.46484,6168.572432,2962.756097,42505.09859,7615.334272,199.9038245,253769.80178,447652.38900400006,558150.4543215,249686.33694,441483.81657200004,555187.6982245,211264.70319,440037.05473200005,557950.550497,207181.23835,433868.48230000003,554987.7944,157718.09629000002,283618.190972,493818.2167245,115212.9977,276002.8567,493618.3129
16,China,13,40,14,15,550,115233.3131,277446.8828,454884.1637,505589.5612,95225.78701,166069.1764,115364.8486,4247.307689,6490.782481,3121.570301,95806.31634,18783.50039,780.9064197,310512.724139,468790.342071,574151.4890207,306265.41645,462299.55959,571029.9187197,214706.407799,450006.841681,573370.582601,210459.10011,443516.0592,570249.0123,211039.62944,296230.38319,506370.4676197,115233.3131,277446.8828,505589.5612
17,China,13,40,14,15,600,115246.9174,289224.3352,449923.0383,501277.6733,96041.21364,168113.3718,116852.9437,4287.278924,6568.164793,3162.898783,134806.8241,27817.82972,1375.861289,350382.234064,491723.7015129999,571314.742072,346094.95514,485155.5367199999,568151.8432890001,215575.40996400002,463905.8717929999,569938.880783,211288.13104,457337.70699999994,566775.9820000001,250053.7415,317042.16491999995,502653.53458900005,115246.9174,289224.3352,501277.6733
18,China,13,40,14,15,650,115261.0272,302332.2185,447568.7981,498903.2784,96016.07803,168049.3478,116807.0853,4286.008327,6565.651051,3161.657668,168350.3409,36104.06517,1991.24278,383913.454457,513051.282521,569528.783848,379627.44613,506485.63147,566367.12618,215563.11355699998,476947.217351,567537.541068,211277.10523,470381.5663,564375.8834,283611.3681,338436.28367000003,500894.52118,115261.0272,302332.2185,498903.2784
19,China,13,40,14,15,700,115274.6204,316676.7129,446903.8105,497771.1236,95432.55602,166565.2094,115744.0853,4256.532397,6507.384124,3132.884875,198821.2781,44011.80987,2625.860116,413784.98691700003,533761.116294,568406.6407910001,409528.45452,527253.73217,565273.7559160001,214963.708817,489749.30642399995,565780.780675,210707.17642,483241.9223,562647.8958,314095.8985,360688.52277,500396.983716,115274.6204,316676.7129,497771.1236
20,China,13,40,14,15,750,115287.9561,332159.9811,447327.2468,497447.9878,94491.67995,164214.1076,114032.8559,4210.486078,6418.398517,3085.355772,227280.1536,51704.4358,3282.650296,441270.275728,554496.923017,567728.108768,437059.78965,548078.5244999999,564642.752996,213990.122128,502792.487217,564445.4584720001,209779.63605,496374.08869999996,561360.1027,342568.1097,383864.41689999995,500730.638096,115287.9561,332159.9811,497447.9878
21,China,13,40,14,15,800,115301.1363,348689.5777,448410.7247,497621.9213,93346.80328,161315.62,111967.5814,4152.406187,6303.478082,3029.873035,254314.4883,59276.94014,3959.205918,467114.83406699996,575585.615922,567367.3850530001,462962.42788,569282.13784,564337.512018,212800.345767,516308.675782,563408.1791350001,208647.93958,510005.1977,560378.3061,369615.6246,407966.51784000004,501581.127218,115301.1363,348689.5777,497621.9213
22,China,13,40,14,15,850,115315.3671,366187.669,449958.3341,498180.623,92092.51635,158170.8515,109717.4925,4089.465854,6180.025864,2968.97724,280286.8469,66786.42387,4655.49301,491784.19620400004,597324.9702339999,567300.29685,487694.73035,591144.9443699999,564331.31961,211497.34930400003,530538.546364,562644.8038400001,207407.88345000002,524358.5205,559675.8266,395602.21400000004,432974.09287,502836.11601,115315.3671,366187.669,498180.623
23,China,13,40,14,15,900,115329.9249,384584.36,451715.2144,498916.944,90789.40285,154924.0103,107395.4253,4024.258332,6052.570716,2906.137182,305443.6054,74268.79856,5372.704353,515587.191482,619829.739576,567389.481235,511562.93315,613777.16886,564483.344053,210143.586082,545560.941016,562016.7768819999,206119.32775,539508.3703,559110.6396999999,420773.5303,458853.15856,504289.648353,115329.9249,384584.36,498916.944
24,China,13,40,14,15,950,115345.4172,403824.9895,453599.8776,499784.5573,89481.7381,151686.8748,105081.3726,3959.011668,5925.503302,2843.516934,329931.1617,81748.06825,6110.386245,538717.328668,643185.435852,567635.1533789999,534758.317,637259.93255,564791.636445,208786.16696799998,561437.367602,561524.767134,204827.15529999998,555511.8643,558681.2502,445276.57889999996,485573.05775000004,505894.943545,115345.4172,403824.9895,499784.5573
25,China,13,40,14,15,1000,115361.3847,423862.6419,455482.6736,500671.5611,88413.70987,148485.1822,102815.7027,3989.582211,5815.79029,2782.20759,353901.6512,89248.28963,6868.37604,561666.3279810001,667411.90402,567948.95993,557676.74577,661596.11373,565166.75234,207764.67678100002,578163.61439,561080.58389,203775.09457000002,572347.8241,558298.3763,469263.0359,513110.93153,507539.93714,115361.3847,423862.6419,500671.5611
26,China,13,40,14,15,1050,115378.627,444661.1317,457359.4984,501588.4202,86940.05195,145460.8078,100629.7738,3832.946324,5681.61682,2722.883798,377434.1412,96784.33279,7645.519608,583585.766474,692587.8891100001,568357.675606,579752.82015,686906.2722900001,565634.791808,206151.62527399996,595803.5563200001,560712.1559980001,202318.67894999997,590121.9395000001,557989.2722,492812.7682,541445.46449,509233.939808,115378.627,444661.1317,501588.4202
27,China,13,40,14,15,1100,115397.4114,466189.6189,459191.598,502502.6423,85735.80246,142532.3632,98543.18586,3773.163331,5566.220586,2666.595772,400606.2547,104392.4696,8429.423353,605512.631891,718680.672286,568830.802985,601739.46856,713114.4517,566164.2072129999,204906.377191,614288.202686,560401.379632,201133.21386000002,608721.9821,557734.78386,516003.6661,570582.0885,510932.065653,115397.4114,466189.6189,502502.6423
28,China,13,40,14,15,1150,115418.3912,488422.9352,460966.7004,503405.3756,84582.9206,139750.7999,96558.3564,3716.282401,5457.074937,2612.888222,423471.1599,112027.064,9246.71973,627188.754101,745657.8740370001,569384.664752,623472.4717,740200.7991000001,566771.77653,203717.594201,633630.8100370001,560137.945022,200001.3118,628173.7351,557525.0568,538889.5511,600449.9992,512652.09533000004,115418.3912,488422.9352,503405.3756
29,China,13,40,14,15,1200,115443.2731,511341.2139,462738.0103,504353.6279,83488.17528,137125.3635,94685.72642,3662.408371,5354.064805,2562.217111,446073.7804,119720.191,10084.68173,648667.637151,773540.8332049999,570070.635561,645005.22878,768186.7684,567508.41845,202593.856751,653820.6422049999,559985.953831,198931.44838000002,648466.5774,557423.73672,561517.0535,631061.4049,514438.30963000003,115443.2731,511341.2139,504353.6279
30,Saudi Arabia,6,20,10,6,500,71042.7215,95349.10472,142323.9125,167406.0897,59674.33893,55964.74899,57067.04344,2524.779064,2193.117482,1544.144666,28620.25075,4778.781505,96.1721875,161862.090244,158285.752697,201031.27279350001,159337.31118,156092.635215,199487.1281275,133241.83949399999,153506.971192,200935.10060600002,130717.06043,151313.85371,199390.95594,99662.97224999999,100127.88622500001,167502.2618875,71042.7215,95349.10472,167406.0897
31,Saudi Arabia,6,20,10,6,550,71054.35221,95516.74927,138745.1517,164651.1372,60964.1123,57697.72154,58942.12386,2584.60262,2261.404234,1594.954128,64480.51771,11282.97208,403.9398687,199083.58483999997,166758.847124,199686.16955669998,196498.98222,164497.44289,198091.21542869997,134603.06712999998,155475.875044,199282.229688,132018.46451,153214.47081,197687.27555999998,135534.86992,106799.72135,165055.0770687,71054.35221,95516.74927,164651.1372
32,Saudi Arabia,6,20,10,6,600,71062.31741,99327.94863,136322.0784,162552.7293,61470.96444,58375.38748,59685.71588,2607.535949,2287.299925,1615.551513,90716.92784,16321.16475,714.636922,225857.74563900003,176311.800785,198337.98271500002,223250.20969,174024.50086,196722.431202,135140.817799,159990.636035,197623.34579300001,132533.28185,157703.33611,196007.79428,161779.24525,115649.11338,163267.366222,71062.31741,99327.94863,162552.7293
33,Saudi Arabia,6,20,10,6,650,71072.26799,103567.2821,134933.2696,161154.9079,61456.98851,58356.44242,59665.20929,2606.884838,2286.552109,1614.996512,113281.4774,20822.8611,1031.040693,248417.618738,185033.137729,197244.516095,245810.7339,182746.58562,195629.519583,135136.141338,164210.276629,196213.475402,132529.2565,161923.72452,194598.47889,184353.74539,124390.14319999999,162185.94859299998,71072.26799,103567.2821,161154.9079
34,Saudi Arabia,6,20,10,6,700,71080.61878,108198.5859,134142.6245,160122.2484,61081.09223,57847.62204,59114.52401,2589.38185,2266.469073,1600.090669,133771.3973,25035.94216,1353.411008,268522.49016000004,193348.619173,196210.650187,265933.10831000004,191082.1501,194610.559518,134751.09286,168312.677013,194857.239179,132161.71101,166046.20794,193257.14851,204852.01608000003,133234.52806,161475.659408,71080.61878,108198.5859,160122.2484
