,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC2,HEAT1_HX_DUTY,HEAT2_HX_AREAC2,HEAT2_HX_DUTY,COOL1_HX_AREAC2,COOL1_HX_DUTY,HX1_HX_AREAC2,HX1_HX_DUTY,HX2_HX_AREAC2,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,S12_VOL,CO,CO2,H2
0,0.0303142946,1.15551037,0.0110935677,79.5281814,0.0090899177,10.8719789,0.265422612,1431.30898,0.0310167441,884.603057,0.0385205482,2189.74768,18.9129606,5247.68545,18.9129606,18.9129606,-6.84854212,1.21208595,-0.170910333,10.9232945,0.44243768,4.32880012,8.52702851,1.55151855,14.5841605,14.5841605,18.9129606,18.9129606,6.4381476,12.474813,10.9232945,1.55151855,10.9232945,10.9232945,8.52702851,2.39626594,4.32880012,4.32880012,14.5841605,14.5841605,18.9129606,18.9129606,18.9129606,18.9129606,18.9129606,0.0,0.108474087,0.280104,8.18644811,0.0604764
0,0.0317843466,1.21154533,0.0116363489,83.3847963,0.00953240849,11.3992483,0.27950214,1500.69835,0.0325218487,927.500723,0.0403885517,2295.93662,19.8301198,5502.16508,19.8301198,19.8301198,-7.18067906,1.27086586,-0.183377344,11.4530281,0.46389337,4.53871961,8.92407521,1.62675971,15.2914002,15.2914002,19.8301198,19.8301198,6.75033201,13.0797878,11.4530281,1.62675971,11.4530281,11.4530281,8.92407521,2.52895292,4.53871961,4.53871961,15.2914002,15.2914002,19.8301198,19.8301198,19.8301198,19.8301198,19.8301198,0.0,0.113733973,0.280104,8.58349481,0.0604764
0,0.0321719367,1.22631936,0.0117795322,84.4016215,0.00965076438,11.5415092,0.28302947,1517.61014,0.0329868464,938.811011,0.0408810647,2323.93412,20.0719357,5569.26052,20.0719357,20.0719357,-7.27003019,1.28645965,-0.186751894,11.5942681,0.46956788,4.59406644,9.03258907,1.64675578,15.4778692,15.4778692,20.0719357,20.0719357,6.83091188,13.2410239,11.5942681,1.64675578,11.5942681,11.5942681,9.03258907,2.56167902,4.59406644,4.59406644,15.4778692,15.4778692,20.0719357,20.0719357,20.0719357,20.0719357,20.0719357,0.0,0.115091632,0.280104,8.69200867,0.0604764
0,0.0321577683,1.2257793,0.0117742976,84.3644513,0.00964649778,11.5364257,0.282892939,1516.94175,0.0329723192,938.397562,0.0408630608,2322.91067,20.0630961,5566.80784,20.0630961,20.0630961,-7.26682852,1.28589311,-0.186631204,11.5891622,0.469361085,4.59204323,9.02876159,1.64603057,15.4710528,15.4710528,20.0630961,20.0630961,6.82790334,13.2351927,11.5891622,1.64603057,11.5891622,11.5891622,9.02876159,2.56040057,4.59204323,4.59204323,15.4710528,15.4710528,20.0630961,20.0630961,20.0630961,20.0630961,20.0630961,0.0,0.115040942,0.280104,8.68818119,0.0604764
0,0.0318640611,1.21458386,0.0116657945,83.5939238,0.00955805974,11.4310595,0.280065414,1503.08709,0.0326711725,929.826877,0.0404898454,2301.69479,19.8798534,5515.9644,19.8798534,19.8798534,-7.20045788,1.27414862,-0.184130542,11.4833144,0.465074257,4.55010263,8.94940897,1.63099682,15.3297508,15.3297508,19.8798534,19.8798534,6.76554224,13.1143112,11.4833144,1.63099682,11.4833144,11.4833144,8.94940897,2.53390539,4.55010263,4.55010263,15.3297508,15.3297508,19.8798534,19.8798534,19.8798534,19.8798534,19.8798534,0.0,0.113990242,0.280104,8.60882857,0.0604764
0,0.0313965121,1.19676198,0.0114931067,82.36733,0.00941532401,11.2594991,0.275816085,1482.66534,0.0321113158,916.183303,0.0398957282,2267.92147,19.5881516,5435.02733,19.5881515,19.5881515,-7.0927005,1.25533931,-0.180066338,11.3129605,0.458229374,4.48333788,8.81856625,1.60687797,15.1048137,15.1048137,19.5881516,19.5881516,6.66831314,12.9198385,11.3129605,1.60687797,11.3129605,11.3129605,8.81856625,2.49439426,4.48333788,4.48333788,15.1048137,15.1048137,19.5881515,19.5881515,19.5881515,19.5881516,19.5881516,0.0,0.112352066,0.280104,8.47798585,0.0604764
0,0.0308285902,1.17511412,0.0112834078,80.8774125,0.00924499728,11.0570132,0.270298487,1455.34186,0.031555257,899.610743,0.0391740666,2226.89773,19.2338274,5336.71478,19.2338274,19.2338274,-6.9650525,1.23266688,-0.175276799,11.1088971,0.449947006,4.40224015,8.66660741,1.57786934,14.8315873,14.8315873,19.2338274,19.2338274,6.547061,12.6867664,11.1088971,1.57786934,11.1088971,11.1088971,8.66660741,2.44228969,4.40224015,4.40224015,14.8315873,14.8315873,19.2338274,19.2338274,19.2338274,19.2338274,19.2338274,0.0,0.11030913,0.280104,8.32602701,0.0604764
0,0.0302094152,1.15151261,0.0110548607,79.253035,0.00905863863,10.834915,0.264388126,1426.12224,0.0309209898,881.542565,0.0383872773,2182.17173,18.8475268,5229.52985,18.8475268,18.8475268,-6.82515031,1.20790876,-0.170036488,10.8857696,0.440909944,4.31382362,8.49935582,1.54617757,14.5337032,14.5337032,18.8475268,18.8475268,6.41557959,12.4319472,10.8857696,1.54617757,10.8857696,10.8857696,8.49935582,2.3864138,4.31382362,4.31382362,14.5337032,14.5337032,18.8475268,18.8475268,18.8475268,18.8475268,18.8475268,0.0,0.108093846,0.280104,8.15877542,0.0604764
0,0.0295746244,1.12731586,0.0108206323,77.5876901,0.00886761553,10.6072295,0.258350401,1396.16,0.0302710063,863.018702,0.0375806451,2136.31773,18.4514835,5119.64168,18.4514835,18.4514835,-6.68172704,1.18252662,-0.164678619,10.6570213,0.431645037,4.2231772,8.32790187,1.51368716,14.2283063,14.2283063,18.4514835,18.4514835,6.28077506,12.1707084,10.6570213,1.51368716,10.6570213,10.6570213,8.32790187,2.32911942,4.2231772,4.2231772,14.2283063,14.2283063,18.4514835,18.4514835,18.4514835,18.4514835,18.4514835,0.0,0.105822572,0.280104,7.98732147,0.0604764
0,0.0289315744,1.10280429,0.0105834419,75.9006775,0.00867413773,10.3765841,0.252257073,1365.80679,0.0296126218,844.253825,0.0367635178,2089.86713,18.0502873,5008.32376,18.0502873,18.0502873,-6.53643919,1.15681431,-0.159266649,10.425298,0.422259598,4.13135138,8.15422027,1.48077416,13.9189359,13.9189359,18.0502873,18.0502873,6.14421516,11.9060721,10.425298,1.48077416,10.425298,10.425298,8.15422027,2.27107772,4.13135138,4.13135138,13.9189359,13.9189359,18.0502873,18.0502873,18.0502873,18.0502873,18.0502873,0.0,0.103521723,0.280104,7.81363987,0.0604764
