,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,WATER_MA,WATER_VOL,LIQOUT_MA,LIQOUT_VOL,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h)
0,0.434800055,0.304375294,7469.24646,54.116316,7686.84481,5.68809673,3.99549869,-9.66354964,0.174354803,0.00400184419,0.418076976,0.00699761987,0.147071802,0.00249197255,0.366923514,0.464466414,0.000128945269,0.376210381,3.14457782e-85,1.04835824e-79,2.61193342,1.58984985e-81,0.00148120786,0.0262664784,0.01672307903801186
0,1.68600393,1.18026191,28960.2034,209.680229,29803.6271,22.1126038,15.4932953,-37.4491523,0.677054674,0.0154736895,1.62115763,0.0271343448,0.570200111,0.00967377558,1.42225476,1.80103766,0.000275864272,1.45875696,7.308407e-85,4.09978508e-79,10.1281717,6.15328551e-81,0.00574360962,0.102912963,0.06484630504673954
0,2.97945283,2.08572152,51173.5773,370.447311,52668.3487,38.1651724,27.3808826,-66.150865,1.19898866,0.0275258205,2.86485849,0.047950956,1.0094396,0.017132589,2.51262563,3.18273607,0.000360453719,2.57783724,6.73768945e-87,7.27172834e-79,17.8981846,1.08709538e-80,0.010149925,0.18258391,0.11459433942558195
0,4.31565419,3.02110936,74119.7451,536.457942,76285.2958,55.869889,39.6593694,-95.8153935,1.73579371,0.039973736,4.14966749,0.0694556203,1.46191338,0.0247980329,3.63951186,4.61010618,0.000351720906,3.73388281,2.18238879e-87,1.0513321e-78,25.9250213,1.5757298e-80,0.014701884,0.263791512,0.16598669973214883
0,5.69503045,3.98672113,97810.0917,707.706372,100665.771,74.7289613,52.3334691,-126.436709,2.28894835,0.0529925771,5.47599082,0.0916551361,1.92899973,0.0326905812,4.8028911,6.08359981,0.000169994735,4.92723928,1.3300999e-84,1.38312117e-78,34.2112196,2.08180514e-80,0.0194009258,0.346634869,0.21903963265634865
0,7.1179156,4.98279066,122250.09,884.455776,125810.709,92.4528355,65.4105842,-157.998721,2.86348464,0.0663143684,6.84414961,0.114554879,2.4123754,0.0408983721,6.00211429,7.60356563,0.000118410833,6.15827038,2.42635839e-87,1.73286438e-78,42.7587826,2.60083996e-80,0.0242481841,0.434469504,0.2737659844885739
0,8.58455886,6.00949241,147447.387,1066.96511,151738.822,111.58452,78.8882014,-190.587926,3.45208801,0.0797449177,8.25438352,0.138158859,2.90838165,0.0493112547,7.23960284,9.17027641,0.000508802653,7.42727084,2.87481096e-87,2.08822644e-78,51.56921,3.13632013e-80,0.0292445109,0.523638003,0.3301753409197947
0,10.0951321,7.06694666,173378.023,1254.38336,178435.028,131.316331,92.7695136,-224.087729,4.06067873,0.0941155391,9.70685777,0.162469843,3.42143027,0.057997665,8.51275433,10.7839166,0.00014814405,8.73409049,2.96754516e-87,2.45596394e-78,60.6435348,3.68940577e-80,0.0343904929,0.615648799,0.3882743106817259
0,11.649739,8.15522604,200077.483,1447.5637,205914.009,151.537745,107.055619,-258.597546,4.68595885,0.108599752,11.2016721,0.1874895,3.9482788,0.0669286126,9.82370969,12.4445933,0.000185598845,10.0791065,3.43431674e-87,2.83411984e-78,69.9823782,4.25753995e-80,0.0396864808,0.710446136,0.4480668840949303
0,13.2484254,9.27436261,227537.701,1646.23438,234172.327,172.335963,121.746785,-294.087516,5.32890225,0.123482947,12.7388706,0.213218567,4.49001419,0.0761120347,11.1718714,14.1523571,0.000241726067,11.4622637,3.91171567e-87,3.22292655e-78,79.5860163,4.84176283e-80,0.0451326317,0.807916864,0.5095548227584245
