,Country,Variable,In/Dec,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
0,Brazil,E,-0.1,2705.514832252075,6929.660750519561,1698.5095100400001
1,China,E,-0.1,4152.4061870673,6113.399867226266,3029.8730352000002
2,Saudi_Arabia,E,-0.1,2528.473073043101,2136.5573689970074,1547.5014292800001
3,Spain,E,-0.1,3038.2970656552816,16615.200584119495,1990.389189
4,USA,E,-0.1,14798.370142199885,60382.21837476737,14322.585183599998
5,Brazil,H,-0.1,2705.514832252075,7156.091179889314,1698.5095100400001
6,China,H,-0.1,4152.4061870673,6303.478081733096,3029.8730352000002
7,Saudi_Arabia,H,-0.1,2528.473073043101,2197.2336504183527,1547.5014292800001
8,Spain,H,-0.1,3038.2970656552816,17177.09975420751,1990.389189
9,USA,H,-0.1,14798.370142199885,62403.8769656991,14322.585183599998
10,Brazil,C,-0.1,2705.514832252075,6709.030080684273,1698.5095100400001
11,China,C,-0.1,4152.4061870673,5927.850284438527,3029.8730352000002
12,Saudi_Arabia,C,-0.1,2528.473073043101,2077.54809217767,1547.5014292800001
13,Spain,C,-0.1,3038.2970656552816,16068.587062640026,1990.389189
14,USA,C,-0.1,14798.370142199885,58415.51868272936,14322.585183599998
