,Country,Variable,In/Dec,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
0,Brazil,E,0.3,2705.514832252075,7835.38246799857,1698.5095100400001
1,China,E,0.3,4152.4061870673,6873.712725253581,3029.8730352000002
2,Saudi_Arabia,E,0.3,2528.473073043101,2379.2624946823894,1547.5014292800001
3,Spain,E,0.3,3038.2970656552816,18862.797264471545,1990.389189
4,USA,E,0.3,14798.370142199885,68468.85273849424,14322.585183599998
5,Brazil,H,0.3,2705.514832252075,7156.091179889314,1698.5095100400001
6,China,H,0.3,4152.4061870673,6303.478081733096,3029.8730352000002
7,Saudi_Arabia,H,0.3,2528.473073043101,2197.2336504183527,1547.5014292800001
8,Spain,H,0.3,3038.2970656552816,17177.09975420751,1990.389189
9,USA,H,0.3,14798.370142199885,62403.8769656991,14322.585183599998
10,Brazil,C,0.3,2705.514832252075,8497.274477504436,1698.5095100400001
11,China,C,0.3,4152.4061870673,7430.361473616797,3029.8730352000002
12,Saudi_Arabia,C,0.3,2528.473073043101,2556.2903251404,1547.5014292800001
13,Spain,C,0.3,3038.2970656552816,20502.637828909952,1990.389189
14,USA,C,0.3,14798.370142199885,74368.9518146083,14322.585183599998
