,Country,Variable,In/Dec,SMR_EAC,SMR_TPC,SMR_REV
0,Brazil,HP,-0.1,63554.79173754653,184595.00831273498,144848.405412
1,China,HP,-0.1,93346.803278226,161315.62004175875,258386.726196
2,Saudi_Arabia,HP,-0.1,59757.2052035785,56073.85289350791,131970.48109200003
3,Spain,HP,-0.1,70596.43390082178,444178.3757871893,169739.821188
4,USA,HP,-0.1,266671.0327678352,1600097.8449513896,1221426.0351000002
5,Brazil,E,-0.1,63554.79173754653,184242.43629129845,160942.67268000002
6,China,E,-0.1,93346.803278226,161019.65160441733,287096.36244
7,Saudi_Arabia,E,-0.1,59757.2052035785,55979.37460610779,146633.86788
8,Spain,E,-0.1,70596.43390082178,443303.4495377568,188599.80132
9,USA,E,-0.1,266671.0327678352,1596949.9446153897,1357140.0389999999
10,Brazil,H,-0.1,63554.79173754653,169976.2041263457,160942.67268000002
11,China,H,-0.1,93346.803278226,149032.67221736992,287096.36244
12,Saudi_Arabia,H,-0.1,59757.2052035785,52160.16036302348,146633.86788
13,Spain,H,-0.1,70596.43390082178,407930.2433929727,188599.80132
14,USA,H,-0.1,266671.0327678352,1469679.3429796058,1357140.0389999999
15,Brazil,C,-0.1,63554.79173754653,182096.26086504455,160942.67268000002
16,China,C,-0.1,93346.803278226,159216.13296868256,287096.36244
17,Saudi_Arabia,C,-0.1,59757.2052035785,55404.89738913286,146633.86788
18,Spain,C,-0.1,70596.43390082178,437982.5934577534,188599.80132
19,USA,C,-0.1,266671.0327678352,1577805.8135283592,1357140.0389999999
