,Country,Variable,In/Dec,SMR_EAC,SMR_TPC,SMR_REV
0,Brazil,HP,0.3,63554.79173754653,184595.00831273498,209225.474484
1,China,HP,0.3,93346.803278226,161315.62004175875,373225.271172
2,Saudi_Arabia,HP,0.3,59757.2052035785,56073.85289350791,190624.02824400002
3,Spain,HP,0.3,70596.43390082178,444178.3757871893,245179.741716
4,USA,HP,0.3,266671.0327678352,1600097.8449513896,1764282.0507
5,Brazil,E,0.3,63554.79173754653,185652.72437704453,160942.67268000002
6,China,E,0.3,93346.803278226,162203.52535378304,287096.36244
7,Saudi_Arabia,E,0.3,59757.2052035785,56357.2877557082,146633.86788
8,Spain,E,0.3,70596.43390082178,446803.1545354867,188599.80132
9,USA,E,0.3,266671.0327678352,1609541.5459593898,1357140.0389999999
10,Brazil,H,0.3,63554.79173754653,228451.42087190264,160942.67268000002
11,China,H,0.3,93346.803278226,198164.46351492527,287096.36244
12,Saudi_Arabia,H,0.3,59757.2052035785,67814.93048496117,146633.86788
13,Spain,H,0.3,70596.43390082178,552922.7729698394,188599.80132
14,USA,H,0.3,266671.0327678352,1991353.3508667415,1357140.0389999999
15,Brazil,C,0.3,63554.79173754653,192091.2506558063,160942.67268000002
16,China,C,0.3,93346.803278226,167614.08126098727,287096.36244
17,Saudi_Arabia,C,0.3,59757.2052035785,58080.71940663308,146633.86788
18,Spain,C,0.3,70596.43390082178,462765.72277549683,188599.80132
19,USA,C,0.3,266671.0327678352,1666973.9392204816,1357140.0389999999
