,Country,Variable,In/Dec,WFGD_EAC,WFGD_TPC,WFGD_REV
0,Brazil,E,0.3,180020.35782791302,51537.07021896178,2220.99744025
1,China,E,0.3,254314.48826232672,59276.94014430914,3959.2059177500005
2,Saudi_Arabia,E,0.3,171074.00238602347,32972.69533455668,2045.22803125
3,Spain,E,0.3,198776.36791409974,89604.0110444618,2623.5656384999997
4,USA,E,0.3,647078.0477366003,310578.97408052225,18779.0972175
5,Brazil,H,0.3,180020.35782791302,57613.93598221293,2220.99744025
6,China,H,0.3,254314.48826232672,64364.51303850506,3959.2059177500005
7,Saudi_Arabia,H,0.3,171074.00238602347,34611.36018402648,2045.22803125
8,Spain,H,0.3,198776.36791409974,104763.31358642362,2623.5656384999997
9,USA,H,0.3,647078.0477366003,364808.5105582961,18779.0972175
10,Brazil,C,0.3,180020.35782791302,52514.027109875286,2220.99744025
11,China,C,0.3,254314.48826232672,60095.47149493251,3959.2059177500005
12,Saudi_Arabia,C,0.3,171074.00238602347,33236.35275253629,2045.22803125
13,Spain,C,0.3,198776.36791409974,92042.67150692735,2623.5656384999997
14,USA,C,0.3,647078.0477366003,319303.3351964094,18779.0972175
