,Country,Variable,In/Dec,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG
0,Brazil,CP,0.3,76036.9106988377,407276.8160317261,253319.83616565593,280907.0243456497
1,China,CP,0.3,115301.13626699774,348689.5776967737,574067.3500655375,623278.5466985899
2,Saudi_Arabia,CP,0.3,71098.52971539239,118524.44331149288,169404.90978802633,194539.42541712508
3,Spain,CP,0.3,85224.19730814798,1006110.3418004025,272220.0228023062,304547.9201894175
4,USA,CP,0.3,355897.1514849933,3589226.058412808,1839011.7062722794,2071639.1217104918
5,Brazil,E,0.3,76036.9106988377,407276.8160317261,198508.06546777947,226095.2536477732
6,China,E,0.3,115301.13626699774,348689.5776967737,448095.52645532636,497306.72308837884
7,Saudi_Arabia,E,0.3,71098.52971539239,118524.44331149288,133633.62084407057,158768.13647316932
8,Spain,E,0.3,85224.19730814798,1006110.3418004025,213673.01854049563,246000.91592760687
9,USA,E,0.3,355897.1514849933,3589226.058412808,1445374.2186279425,1678001.6340661547
10,Brazil,H,0.3,76036.9106988377,478010.7847346685,198508.06546777947,226095.2536477732
11,China,H,0.3,115301.13626699774,407759.2961446158,448095.52645532636,497306.72308837884
12,Saudi_Arabia,H,0.3,71098.52971539239,137848.06030850633,133633.62084407057,158768.13647316932
13,Spain,H,0.3,85224.19730814798,1184513.9048091543,213673.01854049563,246000.91592760687
14,USA,H,0.3,355897.1514849933,4221673.198041127,1445374.2186279425,1678001.6340661547
15,Brazil,C,0.3,76036.9106988377,455174.8215469043,198508.06546777947,226095.2536477732
16,China,C,0.3,115301.13626699774,388841.946795505,448095.52645532636,497306.72308837884
17,Saudi_Arabia,C,0.3,71098.52971539239,131437.72064671037,133633.62084407057,158768.13647316932
18,Spain,C,0.3,85224.19730814798,1125559.746710902,213673.01854049563,246000.91592760687
19,USA,C,0.3,355897.1514849933,4016925.651935163,1445374.2186279425,1678001.6340661547
