Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,HDPDCOM_HD,LPDECOM_HD,PPDECOM_HD,PSDECOM_HD,HEATER_HX_AREAC,HEATER_HD,RPLUG_HD,RPYRO_HD,COOLER_HX_AREAC,COOLER_HX_DUTY,HPDCOUT,LIQ,LPDCOUT,PPDCOUT,PSDCOUT,RPLUGIN,RPLUGIN2,RPYROIN,RPYROOUT,S1,VAP,H2O,H2,CO,CO2,CH4,C2H6,C2H4,C4H10,C6H6,C7H8,C8H10,C9H18,C10H8,C10H14,C14H30,C16H34,C22H46,C,O2,C6H6O,N2,CL2,S,NRP,ASH,HDPE,PP,PS,LDPE
Brazil,10,20,8,8,500,2396.45547,4751.80836,1980.26732,746.788816,0.001077755,198.691094,-3248.45014,348.331436,0.28533334,-4410.25217,10,32.2367581,20,8,8,46,46,46.0000012,46.0000012,46.0000012,13.7632431,0,0,0,0,4.32880012,0.854749122,3.67646424,1.33210698,2.64557287,0.800359257,0.050917343,0.069267643,0.000817997,0.001865002,0.000316235,7.55E-06,7.37E-07,0,0,0,0.001998028,0,0,,,,,,
Brazil,10,20,8,8,550,2396.45547,4751.80836,1980.26732,746.788816,0.004310229,770.455219,-3001.78882,-114.276651,0.287111653,-4403.84167,10,30.9733686,20,8,8,46,46,46.0283549,46.0283549,46.0283549,15.0549863,0,0.083768011,0,0,4.53871961,0.897286743,3.85761721,1.41689032,3.16384233,0.964563131,0.061574632,0.065195804,0.000938286,0.002271185,0.000312296,7.67E-06,8.19E-07,0,0,0,0.001998255,0,0,,,,,,
Brazil,10,20,8,8,600,2396.45547,4751.80836,1980.26732,746.788816,0.007868138,1361.5241,-2757.92976,-591.070631,0.288547593,-4401.44972,10,29.7850425,20,8,8,46,46,46.0012808,46.0012808,46.0012808,16.2162383,0,0.25023392,0,0,4.59406644,0.909717804,3.90855572,1.46409042,3.76810682,1.17487995,0.075777546,0.064548508,0.001103998,0.002824883,0.000324634,8.20E-06,9.57E-07,0,0,1.42E-11,0.001998509,0,0,,,,,,
Brazil,10,20,8,8,650,2396.45547,4751.80836,1980.26732,746.788816,0.011793273,1972.12963,-2567.10193,-1082.2707,0.290634855,-4406.49121,10,28.9476902,20,8,8,46,46,46.0013256,46.0013256,46.0013256,17.0536354,0,0.395799234,0,0,4.59204324,0.910232727,3.9092261,1.48257657,4.25919696,1.34825418,0.087670594,0.061772356,0.001223923,0.003304472,0.000326768,8.50E-06,1.09E-06,0,0,0,0.001998667,0,0,,,,,,
Brazil,10,20,8,8,700,2396.45547,4751.80836,1980.26732,746.788816,0.016135582,2602.46484,-2425.72503,-1586.74658,0.293065369,-4415.2698,10,28.3473834,20,8,8,46,46,46.0006276,46.0006276,46.0006276,17.6532442,0,0.524818294,0,0,4.55010262,0.902537722,3.87513428,1.48238471,4.66246519,1.4925002,0.097731082,0.058200656,0.001312477,0.003725008,0.00032327,8.66E-06,1.21E-06,0,0,0,0.001998775,0,0,,,,,,
Brazil,10,20,8,8,750,2396.45547,4751.80836,1980.26732,746.788816,0.020955553,3252.68236,-2329.54404,-2103.43868,0.295705342,-4426.17003,10,27.9227571,20,8,8,46,46,46.000155,46.000155,46.000155,18.077398,0,0.638400564,0,0,4.48333787,0.889730964,3.81940903,1.47032262,4.99494653,1.61279278,0.106261134,0.054398254,0.001378857,0.004094522,0.000315958,8.70E-06,1.32E-06,0,0,0,0.001998852,0,0,,,,,,
Brazil,10,20,8,8,800,2396.45547,4751.80836,1980.26732,746.788816,0.026327558,3922.89608,-2274.10687,-2631.35663,0.298441093,-4438.09576,10,27.6265767,20,8,8,46,46,46.0004948,46.0004948,46.0004948,18.3739181,0,0.738151343,0,0,4.40224015,0.873955087,3.75114728,1.45096931,5.27127563,1.71382472,0.113540109,0.05064923,0.001429927,0.004420445,0.000305926,8.64E-06,1.42E-06,0,0,6.66E-12,0.001998909,0,0,,,,,,
Brazil,10,20,8,8,850,2396.45547,4751.80836,1980.26732,746.788816,0.032344658,4613.18452,-2255.35624,-3169.57377,0.301195802,-4450.32317,10,27.4234302,20,8,8,46,46,46.0015084,46.0015084,46.0015084,18.5780782,0,0.825844082,0,0,4.31382362,0.856640381,3.67642504,1.42736843,5.50317129,1.7994345,0.119798304,0.047090264,0.001470409,0.004708933,0.000293967,8.49E-06,1.50E-06,0,0,0,0.001998953,0,0,,,,,,
Brazil,10,20,8,8,900,2396.45547,4751.80836,1980.26732,746.788816,0.039125678,5323.59509,-2269.57929,-3717.40945,0.303942713,-4462.65191,10,27.2936213,20,8,8,46,46,46.0076146,46.0076146,46.0076146,18.7139933,0,0.902543263,0,0,4.22317747,0.838819367,3.59963711,1.4016328,5.69849642,1.87199778,0.125168928,0.043764965,0.001502785,0.004962983,0.000280632,8.27E-06,1.56E-06,0,0,7.15E-12,0.001998986,0,0,,,,,,
Brazil,10,20,8,8,950,2396.45547,4751.80836,1980.26732,746.788816,0.046825988,6054.14872,-2314.9207,-4273.36319,0.306559739,-4473.86445,10,27.1954018,20,8,8,46,46,46.0005162,46.0005162,46.0005162,18.8051145,0,0.97209714,0,0,4.13135138,0.820726983,3.52174716,1.37467728,5.86864493,1.93614364,0.129973744,0.040751145,0.00153149,0.005194131,0.000266824,8.00E-06,1.59E-06,0,0,0,0.001999013,0,0,,,,,,
